relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Lead Test An­bin­dung En­er­gie­da­ten­ma­nage­ment (m/w/d),SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-02-25T11:01:57.740448+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D3,On-site,Freelance,Integration Testing,"R, Intern",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-02-25T11:01:57.740665+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,Can,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-02-25T11:01:57.741193+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Remote",Remote,Freelance,,"Senior, R",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-02-25T11:03:57.796495+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Linux, R, Senior, Freelancer, Project Manager, Docker, Ansible",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-25T11:03:57.796995+00:00
14,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote",Remote,Freelance,"C, Hil, Microcontroller, Python, Test Automation","Linux, Aspice, R, Iso 26262, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-system-testingenieur-m-w-d-103932,2026-02-25T11:05:00.152549+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Lüneburg",Remote,Freelance,,"Freelancer, R, Expert, Jira",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-02-25T11:05:59.049737+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D1,Remote,Freelance,,"Consultant, Senior, R, Intern",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-experte-developer-project-analyst-m-w-d-104379,2026-02-25T11:05:59.049853+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"C, C++, Ci/Cd","R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-02-25T11:05:59.049954+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","Architect, R, Freelancer",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-02-25T11:05:59.050052+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","C#, Github, React, Sql Server, Nunit, Devops, R, Nosql, Git, Databricks",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-02-25T11:08:00.223997+00:00
