relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Systems Engineer / Functional Safety Expert (m/w/d),Hays Client,Mannheim,On-site,Contract,,Expert,German,Expert,,23.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systems-engineer-functional-safety-expert-mannheim-858329/1,2026-02-17T10:49:24.766473+00:00
14,Tester | Germany,hays,Bauüberwacher Tief- und Hochbau (m/w/d),Hays Client,Köln,On-site,Contract,,,German,Contractor,,10.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauueberwacher-tief--und-hochbau-koeln-843837/1,2026-02-17T10:49:24.767852+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Senior, Kubernetes, Postgresql, Spring Boot, Microservices, Mongodb",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-17T10:49:50.190281+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"Senior, R",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-02-17T10:49:50.191404+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Qt / C++ (m/w/d),Hays Client,Berlin,On-site,Contract,"C, C++","Senior, R",German,Senior,,09.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-qt-c-berlin-858527/1,2026-02-17T10:50:15.689641+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,23.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-02-17T10:50:15.693353+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Java (m/w/d),Hays Client,Bundesweit,On-site,Contract,Java,Senior,German,Senior,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-java-bundesweit-845396/1,2026-02-17T10:50:15.693610+00:00
14,Test Automation | Germany,hays,Savvy Berater  (m/w/d),Hays Client,Remote,Remote,Contract,,Consultant,German,Consultant,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-savvy-berater--remote-860283/1,2026-02-17T10:51:08.641505+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Senior, Linux",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-02-17T10:51:08.642039+00:00
14,Test Automation | Germany,hays,Lead Engineer oder Experte Stationsleittechnik in der Energieversorgung (m/w/d),Hays Client,Erlangen,On-site,Contract,,"R, Expert, Lead",German,"Expert, Lead",,02.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-oder-experte-stationsleittechnik-in-der-energieversorgung-erlangen-852227/1,2026-02-17T10:51:08.644119+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Autosar, Expert, Gitlab, Iso 26262, Gitlab Ci, Azure, Canoe, R, Devops",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-02-17T10:51:08.644635+00:00
