relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-03-05T10:43:04.536952+00:00
14,Tester | Germany,hays,Testmanager eDrive gem. ISO 26262  (m/w/d),Hays Client,Affalterbach,On-site,Contract,,Iso 26262,German,Test Manager,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-edrive-gem-iso-26262--affalterbach-863460/1,2026-03-05T10:43:04.537530+00:00
14,Tester | Germany,hays,Senior Embedded Instrument Control Tester  (m/f/d),Hays Client,Rotkreuz,On-site,Contract,,Senior,English,Senior,,23.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-instrument-control-tester--rotkreuz-862979/1,2026-03-05T10:43:04.537820+00:00
14,Tester | Germany,hays,Test Automation Engineer (m/f/d),Hays Client,Geneva,On-site,Contract,"Python, Test Automation",Lead,English,Lead,,03.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-geneva-852260/1,2026-03-05T10:43:04.540237+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Mongodb, Senior, Kubernetes, Spring Boot, Microservices, Postgresql",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-03-05T10:43:27.637905+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"R, Senior",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-03-05T10:43:27.638432+00:00
14,Test Engineer | Germany,hays,Experte / Lead Engineer Schutz- und Steuerungssysteme in der Energieversorgung (m/w/d),Hays Client,Erlangen,On-site,Contract,,"Expert, R, Lead",German,"Expert, Lead",,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-lead-engineer-schutz--und-steuerungssysteme-in-der-energieversorgung-erlangen-830588/1,2026-03-05T10:43:50.278107+00:00
14,Test Engineer | Germany,hays,Lead Engineer oder Experte Stationsleittechnik in der Energieversorgung (m/w/d),Hays Client,Erlangen,On-site,Contract,,"Expert, R, Lead",German,"Expert, Lead",,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-oder-experte-stationsleittechnik-in-der-energieversorgung-erlangen-852227/1,2026-03-05T10:43:50.278398+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-03-05T10:43:50.278688+00:00
14,Test Engineer | Germany,hays,Senior Quality Engineer (m/w/d),Hays Client,Gießen,On-site,Contract,,Senior,German,Senior,,02.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-engineer-giessen-828402/1,2026-03-05T10:43:50.283007+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","R, Autosar, Iso 26262, Canoe, Azure, Gitlab, Expert, Devops, Gitlab Ci",German,Expert,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-03-05T10:44:38.795954+00:00
14,Test Automation | Germany,hays,Consultant Tax Document Processes (Post-Migration) (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,"R, Consultant",German,Consultant,,20.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-consultant-tax-document-processes-post-migration-baden-wuerttemberg-862379/1,2026-03-05T10:44:38.797267+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Senior, Linux",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-03-05T10:44:38.799114+00:00
14,Python Developer | Germany,hays,Senior Web Application Developer (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,"R, Senior, Azure",German,Senior,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-web-application-developer-baden-wuerttemberg-864751/1,2026-03-05T10:45:03.892675+00:00
14,Python Developer | Germany,hays,Senior Data Warehouse Developer (Databricks) (m/f/d),Hays Client,Austria,On-site,Contract,"Ci/Cd, Github Actions, Python","Github, Databricks, Senior, Sql",English,Senior,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-data-warehouse-developer-databricks-austria-863468/1,2026-03-05T10:45:03.893492+00:00
14,Python Test | Germany,hays,(Senior) Softwareentwickler mit Schwerpunkt TypeScript (m/w/d),Hays Client,Würzburg – Remote-friendly innerhalb DE; optional onsite/hybrid,Remote,Contract,Typescript,"R, Senior",German,Senior,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-softwareentwickler-mit-schwerpunkt-typescript-wuerzburg--remote-friendly-innerhalb-de-optional-onsite-hybrid-850433/1,2026-03-05T10:45:25.635927+00:00
0,Tester | Germany,hays,Softwareentwickler/Tester Python (m/w/d),Hays Client,Freiburg,On-site,Contract,Python,,German,,,04.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-tester-python-freiburg-864601/1,2026-03-05T10:43:04.536642+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Sil",Mil,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-wolfsburg-841316/1,2026-03-05T10:43:04.537218+00:00
0,Tester | Germany,hays,Quality Assurance Tester(m/w/d),Hays Client,Bayern,On-site,Contract,,,English,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-assurance-tester-bayern-861542/1,2026-03-05T10:43:04.538079+00:00
0,Tester | Germany,hays,Test Engineer (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,12.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-zug-861396/1,2026-03-05T10:43:04.538343+00:00
0,Tester | Germany,hays,Digital Business Solution Professional (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-business-solution-professional-herzogenaurach-860968/1,2026-03-05T10:43:04.538629+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-03-05T10:43:04.538892+00:00
0,Tester | Germany,hays,Biocomp Manager (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-biocomp-manager-schleswig-holstein-860740/1,2026-03-05T10:43:04.539152+00:00
0,Tester | Germany,hays,Inbetriebnehmer (m/w/d),Hays Client,Guxhagen,On-site,Contract,,,German,,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-inbetriebnehmer-guxhagen-859882/1,2026-03-05T10:43:04.539420+00:00
0,Tester | Germany,hays,Softwaretester  (m/w/d),Hays Client,Bundesland Wien,On-site,Contract,"Java, Test Automation",,German,,,09.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwaretester--bundesland-wien-852800/1,2026-03-05T10:43:04.539697+00:00
0,Tester | Germany,hays,Field Application Engineer - WIFI Specialist  (m/w/d),Hays Client,Darmstadt,On-site,Contract,,,German,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-field-application-engineer-wifi-specialist--darmstadt-849795/1,2026-03-05T10:43:04.539972+00:00
0,QA Engineer | Germany,hays,Qualitätssicherer / QS / Qualitätssicherung (m/w/d),Hays Client,Hochtaunuskreis,On-site,Contract,,,German,,,19.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetssicherer-qs-qualitaetssicherung-hochtaunuskreis-862506/1,2026-03-05T10:43:27.637070+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Angular, Docker, Intern, Devops, Spring Boot, Git",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-03-05T10:43:27.637355+00:00
0,QA Engineer | Germany,hays,Chief Chemical Engineer / Manager (m/f/d),Hays Client,Denmark,On-site,Contract,,,English,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-chief-chemical-engineer-manager-denmark-855248/1,2026-03-05T10:43:27.638176+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-850318/1,2026-03-05T10:43:50.278951+00:00
0,Test Engineer | Germany,hays,Resident Engineer (m/w/d),Hays Client,München,On-site,Contract,,Canoe,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-resident-engineer-muenchen-863816/1,2026-03-05T10:43:50.279216+00:00
0,Test Engineer | Germany,hays,Test Automation Engineer (m/w/d),Hays Client,Dresden,On-site,Contract,"Ci/Cd, Test Automation",R,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-dresden-852634/1,2026-03-05T10:43:50.279497+00:00
0,Test Engineer | Germany,hays,SOC Engineer  (m/w/d),Hays Client,Essen,On-site,Contract,,"R, Soc, Linux",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-soc-engineer--essen-863817/1,2026-03-05T10:43:50.279766+00:00
0,Test Engineer | Germany,hays,IT Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Kubernetes, Ansible",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-frankfurt-am-main-854031/1,2026-03-05T10:43:50.280021+00:00
0,Test Engineer | Germany,hays,Network & Security Engineer  (m/w/d),Hays Client,Remote,Remote,Contract,,,German,,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-network-security-engineer--remote-863410/1,2026-03-05T10:43:50.280283+00:00
0,Test Engineer | Germany,hays,Embedded Software Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-engineer-muenchen-862756/1,2026-03-05T10:43:50.280566+00:00
0,Test Engineer | Germany,hays,Power Electronics Hardware Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-power-electronics-hardware-engineer-muenchen-862757/1,2026-03-05T10:43:50.280833+00:00
0,Test Engineer | Germany,hays,Test Engineer Bremssysteme (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,24.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-bremssysteme-erlangen-863233/1,2026-03-05T10:43:50.281094+00:00
0,Test Engineer | Germany,hays,Security Engineer Web (m/w/d),Hays Client,Bayern,On-site,Contract,,,German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-engineer-web-bayern-861381/1,2026-03-05T10:43:50.281348+00:00
0,Test Engineer | Germany,hays,IT System Engineer Network (m/w/d),Hays Client,Nürnberg,On-site,Contract,,,German,,,11.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-system-engineer-network-nuernberg-860757/1,2026-03-05T10:43:50.281674+00:00
