relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,C,"Senior, C#",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-06-25T13:37:00.125581+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Testng, Scrum, R, Kanban, Junit, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-06-25T13:37:00.130094+00:00
14,Tester | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485209/testingenieur,2026-06-25T13:37:00.131945+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Scrum, R, C#, Git, Kanban, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-06-25T13:37:00.132708+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Cucumber, Scrum, R, Kanban, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-06-25T13:37:09.498765+00:00
14,QA Engineer | Germany,ferchau,Softwaretester Qualitätssicherung (m/w/d),FERCHAU,Beckum Deut­sch­land,Hybrid,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Kanban, Gitlab, Jira, Scrum, Postman, R, Gitlab Ci, C#, Sql, Junit",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/499252/softwaretester-qualitaetssicherung,2026-06-25T13:37:09.505636+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-06-25T13:37:27.433742+00:00
14,Testingenieur | Germany,ferchau,Versuchsingenieur / Testingenieur (m/w/d),FERCHAU,Augs­burg Deut­sch­land,Remote,Full-time,Python,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/486814/versuchsingenieur-testingenieur,2026-06-25T13:37:27.440046+00:00
14,Testingenieur | Germany,ferchau,System Testingenieur (m/w/d) HIL / CANoe,FERCHAU,Schieder-Schwa­len­berg Deut­sch­land,Hybrid,Full-time,Hil,"Canoe, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/506911/system-testingenieur-hil-canoe,2026-06-25T13:37:27.441643+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"R, Senior",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-06-25T13:37:37.681687+00:00
14,Test Automation | Germany,ferchau,Testmanager für Automationssysteme (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Vor Ort,Full-time,,"Jira, R",German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/499546/testmanager-fuer-automationssysteme,2026-06-25T13:37:37.686115+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Linux, R, Sql, Nosql, Junior, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-06-25T13:37:47.774307+00:00
14,Python Developer | Germany,ferchau,Fullstack Developer (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","React, Vue.Js, R, C#, Sql, Nosql, Angular, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445282/fullstack-developer,2026-06-25T13:37:47.781750+00:00
14,Python Developer | Germany,ferchau,KI Developer Kundenschnittstellen (m/w/d),FERCHAU,Frank­furt Deut­sch­land,Remote,Full-time,"Ci/Cd, Java, Python, Rag","Gitlab, Gitlab Ci, R, Kanban, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/507982/ki-developer-kundenschnittstellen,2026-06-25T13:37:47.782746+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Rostock Deut­sch­land,Remote,Full-time,"C, C++, Python","R, Expert",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/288574/softwaretester,2026-06-25T13:37:56.440797+00:00
14,Python Test | Germany,ferchau,Embedded-Software- und Systemtester (m/w/d),FERCHAU,Gießen Deut­sch­land,Remote,Full-time,"C, C++, Embedded Systems, Hil, Python, Sil","Scrum, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/348925/embedded-software-und-systemtester,2026-06-25T13:37:56.443582+00:00
14,Firmware Engineer | Germany,ferchau,Softwareentwickler (m/w/d) C / C++,FERCHAU,Bremen Deut­sch­land,Hybrid,Full-time,"C, C++","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/400018/softwareentwickler-c-c,2026-06-25T13:38:05.188425+00:00
14,Firmware Engineer | Germany,ferchau,Senior Softwareingenieur FPGA / VHDL (m/w/d),FERCHAU,Ulm Deut­sch­land,Remote,Full-time,Embedded Systems,"Vhdl, R, Fpga, Senior, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/488167/senior-softwareingenieur-fpga-vhdl,2026-06-25T13:38:05.189428+00:00
14,Firmware Engineer | Germany,ferchau,Elektroingenieur (m/w/d),FERCHAU,Veits­höch­heim Deut­sch­land,Remote,Full-time,Hil,"R, Matlab, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/504070/elektroingenieur,2026-06-25T13:38:05.194185+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-06-25T13:37:00.126624+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-06-25T13:37:00.127465+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-06-25T13:37:00.128432+00:00
0,Tester | Germany,ferchau,Softwaretester / Software Testingenieur (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/497092/softwaretester-software-testingenieur,2026-06-25T13:37:00.129328+00:00
0,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Kassel Deut­sch­land,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/472864/systemtester,2026-06-25T13:37:00.130880+00:00
0,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/443281/systemtester,2026-06-25T13:37:00.133512+00:00
0,QA Engineer | Germany,ferchau,Software Automation Engineer (m/w/d),FERCHAU,Hannover Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Python","R, Linux",German,,,Recent,https://touch.ferchau.com/de/de/job/506386/software-automation-engineer,2026-06-25T13:37:09.497860+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer - Shipbuilding (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,Can,,English,,,Recent,https://touch.ferchau.com/de/de/job/482239/hull-structural-designer-shipbuilding,2026-06-25T13:37:09.499885+00:00
0,QA Engineer | Germany,ferchau,DevOps Engineer (m/w/d) Cloud & Mobile Platforms,FERCHAU,Nürn­berg Deut­sch­land,Remote,Full-time,,Devops,English,,,Recent,https://touch.ferchau.com/de/de/job/488962/devops-engineer-cloud-mobile-platforms,2026-06-25T13:37:09.501276+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/461695/hull-structural-designer,2026-06-25T13:37:09.502234+00:00
0,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-06-25T13:37:09.503437+00:00
0,QA Engineer | Germany,ferchau,Quality Site Inspector Offshore (m/f/d),FERCHAU,Hamburg Germany,On-Site,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/508294/quality-site-inspector-offshore,2026-06-25T13:37:09.504703+00:00
0,QA Engineer | Germany,ferchau,Backend Entwickler (m/w/d),FERCHAU,Köln Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/469966/backend-entwickler,2026-06-25T13:37:09.507579+00:00
0,Test Engineer | Germany,ferchau,Hardware & Automation Engineer (m/w/d),FERCHAU,Linz Öster­reich,Vor Ort,Full-time,,R,German,,,Recent,https://touch.ferchau.com/de/de/job/503116/hardware-automation-engineer,2026-06-25T13:37:17.955715+00:00
0,Test Engineer | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/495223/system-test-engineer,2026-06-25T13:37:17.956800+00:00
