relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Lead Test Connection Energy Data Management (m/f/d),GULP Client,"Location: Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/716956cc0cc111f196d7a2d1b5394681,2026-03-07T10:58:12.023373+00:00
14,Tester | Germany,gulp,Test Manager SAP Cloud ALM ( CALM) (m/f/d),GULP Client,Location: D3,On-site,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d8235140080411f196d7a2d1b5394681,2026-03-07T10:58:12.023835+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-03-07T10:58:12.024198+00:00
14,QA Engineer | Germany,gulp,"Senior Embedded Linux SoftwareEngineer(Yocto, C++14, ARM) (m/f/d)",GULP Client,Location: D8,On-site,Freelance,"Arm, C, C++, Embedded Linux","Senior, Linux",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/65afd142197f11f189e08e417b6a1e17,2026-03-07T10:59:04.369303+00:00
14,QA Engineer | Germany,gulp,"Packaging Development Expert - Focus on Steel, Large Parts (m/f/d)",GULP Client,Location: D4,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/6612d670197f11f189e08e417b6a1e17,2026-03-07T10:59:04.369795+00:00
14,QA Engineer | Germany,gulp,Project Estimator for Civil Engineering Projects (m/f/d),GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/75fc4904197f11f189e08e417b6a1e17,2026-03-07T10:59:04.370736+00:00
14,QA Engineer | Germany,gulp,Aurea CRM Developers &amp; Consultants (m/f/d) Remote,GULP Client,Germany,Remote,Freelance,C,"Consultant, C#",English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69aafa86268721d3fdea4f67,2026-03-07T10:59:04.371297+00:00
14,QA Engineer | Germany,gulp,Senior Firmware Architect (m/f/d),GULP Client,"Location: D6, Remote",Remote,Freelance,Firmware,"Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4cb03132196611f189e08e417b6a1e17,2026-03-07T10:59:04.373325+00:00
14,QA Engineer | Germany,gulp,Senior NetworkEngineer(Cisco) (m/f/d),GULP Client,Location: D2,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9014663e195511f189e08e417b6a1e17,2026-03-07T10:59:04.374333+00:00
14,Test Automation | Germany,gulp,Senior Angular Developer (m/f/d),GULP Client,Location: Cologne,On-site,Freelance,,"Angular, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249749,2026-03-07T11:01:33.316240+00:00
14,Test Automation | Germany,gulp,Remote: Test Manager (m/f/d) in SAP environment POS70903 s/4HANA Solution Manager HP ALM Jira Tosca,GULP Client,Location: remote,Remote,Freelance,,Jira,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a5a2d99ae026fc1cf8d1e2,2026-03-07T11:01:33.316788+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca688b86aec35538cb019,2026-03-07T11:01:33.318629+00:00
14,Test Automation | Germany,gulp,Senior Engineer for Photonic Module Characterization (m/f/d),GULP Client,Location: Stuttgart,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01224100,2026-03-07T11:01:33.319444+00:00
14,Python Developer | Germany,gulp,Solution Architect Customer & Partner Portal (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,"Architect, Solution Architect",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7c8c29e2197f11f189e08e417b6a1e17,2026-03-07T11:02:24.283217+00:00
14,Python Developer | Germany,gulp,SAP HCM Consultant (m/f/d),GULP Client,Location: Dresden,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250743,2026-03-07T11:02:24.284714+00:00
14,Python Developer | Germany,gulp,SAP VIM / OpenText Consultant (m/f/d) / Contracting or Permanent Zurich / Cross-border commuters welcome!,GULP Client,Location: Zürich,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69aae548d0a80ebf47f38e2e,2026-03-07T11:02:24.285716+00:00
14,Python Developer | Germany,gulp,IT Solution Architect (m/f/d) Insurance,GULP Client,Location: München,Remote,Freelance,,"Architect, Solution Architect",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69aac94bd0a80ebf47f36f3e,2026-03-07T11:02:24.287632+00:00
14,Python Developer | Germany,gulp,"Data Architect (m/f/d) (Data Governance, Data Mesh & Product Lifecycle)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01248972,2026-03-07T11:02:24.289194+00:00
14,Python Test | Germany,gulp,Expert END-to-End/ IT Infra/ MS Azure/ virtual Desktop/ Third-Party Patch Management (m/f/d),GULP Client,Location: D6,On-site,Freelance,,"Azure, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/29a1d876194d11f189e08e417b6a1e17,2026-03-07T11:03:14.495009+00:00
14,Python Test | Germany,gulp,"Appian System Specialist (m/f/d) (Senior/Lead Developer – Code Reviews, Architecture & CI/CD)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Ci/Cd,"Senior, Lead",English,"Lead, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249593,2026-03-07T11:03:14.495454+00:00
0,Tester | Germany,gulp,Test Technician / LabVIEW Test Bench (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8164693218a511f189e08e417b6a1e17,2026-03-07T10:58:12.020950+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d) Verification & Validation,GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-03-07T10:58:12.021365+00:00
0,Tester | Germany,gulp,Test Engineer ICT (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/bb69b54e127c11f196d7a2d1b5394681,2026-03-07T10:58:12.021869+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,Location: D7,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a8947742127c11f196d7a2d1b5394681,2026-03-07T10:58:12.022346+00:00
0,Tester | Germany,gulp,4389 Banking application tester (m/f/d),GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/028cfdd410b411f196d7a2d1b5394681,2026-03-07T10:58:12.022822+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-03-07T10:58:12.024645+00:00
0,QA Engineer | Germany,gulp,Siclimat X - CommissioningEngineer(m/f/d),GULP Client,Location: Deutschland,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/767d6886197f11f189e08e417b6a1e17,2026-03-07T10:59:04.370278+00:00
0,QA Engineer | Germany,gulp,DevOps PlatformEngineer(m/f/d) - 90% remote,GULP Client,Location: Cologne,Remote,Freelance,,Devops,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250750,2026-03-07T10:59:04.371750+00:00
0,QA Engineer | Germany,gulp,Project Manager in Risk Management (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/b17cc398196e11f189e08e417b6a1e17,2026-03-07T10:59:04.372310+00:00
0,QA Engineer | Germany,gulp,Technical Product Owner (m/f/d) CMS System,GULP Client,Location: Bielefeld,Remote,Freelance,,Product Owner,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250398,2026-03-07T10:59:04.372755+00:00
0,QA Engineer | Germany,gulp,ProjectEngineer/Work Preparation (m/f/d),GULP Client,"Location: D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8e0643b2195511f189e08e417b6a1e17,2026-03-07T10:59:04.373881+00:00
0,QA Engineer | Germany,gulp,Projectengineerfor the preparation of tender documents (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/906bfac0195511f189e08e417b6a1e17,2026-03-07T10:59:04.374887+00:00
