relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,C,"Senior, C#",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-06-01T17:26:35.080391+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-06-01T17:26:35.082198+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-06-01T17:26:35.083151+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d),FERCHAU,Kassel Deut­sch­land,Remote,Full-time,"C, C++, Python","Expert, Senior, R",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/496582/senior-softwaretester,2026-06-01T17:26:35.084983+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Biele­feld Deut­sch­land,Remote,Full-time,"C, C++, Embedded Linux, Python","Linux, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/186741/softwaretester,2026-06-01T17:26:35.085716+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Testng, Junit, Expert, Kanban, Scrum, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-06-01T17:26:35.088130+00:00
14,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Kassel Deut­sch­land,Hybrid,Full-time,"C, Java, Python","Expert, R, Jira, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/472864/systemtester,2026-06-01T17:26:35.088869+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Cucumber, Expert, Kanban, Scrum, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-06-01T17:26:43.942307+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-06-01T17:26:43.946330+00:00
14,QA Engineer | Germany,ferchau,Softwaretester Qualitätssicherung (m/w/d),FERCHAU,Beckum Deut­sch­land,Hybrid,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Sql, Gitlab Ci, Junit, Expert, Zephyr, Postman, Kanban, Gitlab, Scrum, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/499252/softwaretester-qualitaetssicherung,2026-06-01T17:26:43.949299+00:00
14,Test Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Wien Öster­reich,Hybrid,Full-time,"C, C++, Java","Expert, R, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/505204/software-test-engineer,2026-06-01T17:26:53.832572+00:00
