relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager E2E-Testkoordination & Defect Management (m/w/d),Hays Client,Augsburg,On-site,Contract,Go,R,German,Test Manager,,06.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-e2e-testkoordination-defect-management-augsburg-889012/1,2026-08-10T11:18:09.993028+00:00
14,Tester | Germany,hays,Software-Testmanager (m/w/d),Hays Client,Erlangen,On-site,Contract,Test Automation,,German,Test Manager,,03.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-testmanager-erlangen-888545/1,2026-08-10T11:18:09.993869+00:00
14,Tester | Germany,hays,D365 Testmanager (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,Test Automation,R,German,Test Manager,,29.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-d365-testmanager-baden-wuerttemberg-887665/1,2026-08-10T11:18:09.994422+00:00
14,Tester | Germany,hays,Testmanager mit EAM Erfahrung (m/w/d),Hays Client,Frankfurt,On-site,Contract,,,German,Test Manager,,13.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-mit-eam-erfahrung-frankfurt-884856/1,2026-08-10T11:18:09.995781+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Expert, Jira",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-08-10T11:18:09.997690+00:00
14,Tester | Austria,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-08-10T11:18:15.304471+00:00
14,QA Engineer | Germany,hays,S&C MSAT Process Engineer (m/f/d),Hays Client,Zug,On-site,Contract,C,Expert,English,Expert,,16.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-s-c-msat-process-engineer-zug-885904/1,2026-08-10T11:18:39.884297+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-08-10T11:18:39.884567+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-08-10T11:18:39.885395+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"R, Associate, Lead",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-08-10T11:18:39.885656+00:00
14,Test Engineer | Germany,hays,Lead Automation Development Engineer (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"R, Lead",German,Lead,,03.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-automation-development-engineer-duesseldorf-888510/1,2026-08-10T11:19:04.742103+00:00
14,Test Engineer | Germany,hays,Senior Embedded Firmware Security Engineer (m/w/d),Hays Client,Fürstenfeldbruck,On-site,Contract,Firmware,Senior,German,Senior,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-firmware-security-engineer-fuerstenfeldbruck-884719/1,2026-08-10T11:19:04.743460+00:00
14,Test Engineer | Germany,hays,Senior Cyber Security Engineer (m/w/d),Hays Client,Frankfurt,On-site,Contract,,Senior,German,Senior,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cyber-security-engineer-frankfurt-877659/1,2026-08-10T11:19:04.743973+00:00
14,Test Engineer | Germany,hays,System Engineer / System Architect – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,"Architect, System Architect",German,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-08-10T11:19:04.745027+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"Senior, R",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-08-10T11:19:04.745864+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-08-10T11:19:32.982318+00:00
14,Test Automation | Germany,hays,Security Experte im C5 Umfeld (m/w/d),Hays Client,Stuttgart,On-site,Contract,,"Azure, Expert, Devops, R",German,Expert,,21.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-experte-im-c5-umfeld-stuttgart-886640/1,2026-08-10T11:20:00.066124+00:00
14,Test Automation | Germany,hays,Lead Architect / Teamleiter IP/MPLS Design (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Architect, Team Lead, R, Lead",German,"Architect, Lead",,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-architect-teamleiter-ip-mpls-design-duesseldorf-886301/1,2026-08-10T11:20:00.066407+00:00
