relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Testingenieur | USA,linkedin,Test Engineer,Google,"Mountain View, CA",Remote,Internship,"Firmware, Test Automation",Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-google-4434148716,2026-07-30T11:55:24.996400+00:00
44,Test Automation | United Kingdom,linkedin,Senior Software QA Test Development Engineer,NVIDIA,"Reading, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-qa-test-development-engineer-at-nvidia-4439949376,2026-07-30T11:55:49.554427+00:00
29,Tester | Slovakia,linkedin,Test Professional (m/f/d),Siemens Healthineers,"Košice, Kosice, Slovakia",Remote,Contract,"Go, Test Automation","Devops, Azure",English,,,Recent,https://sk.linkedin.com/jobs/view/test-professional-m-f-d-at-siemens-healthineers-4431961974,2026-07-30T11:54:11.000423+00:00
29,Tester | Slovakia,linkedin,Automation Tester (Bratislava/Zilina/Kosice) (f/m/d),Siemens Healthineers,"Košice, Kosice, Slovakia",Remote,Contract,"Go, Test Automation","Devops, Azure",English,,,Recent,https://sk.linkedin.com/jobs/view/automation-tester-bratislava-zilina-kosice-f-m-d-at-siemens-healthineers-4423663277,2026-07-30T11:54:11.000619+00:00
29,Tester | Slovakia,linkedin,Test inžinier pre vývoj elektronických systémov,Siemens,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-in%C5%BEinier-pre-v%C3%BDvoj-elektronick%C3%BDch-syst%C3%A9mov-at-siemens-4445738791,2026-07-30T11:54:11.001934+00:00
29,Tester | Poland,linkedin,Tester/Testerka,Audioteka,Poland,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/tester-testerka-at-audioteka-4438180638,2026-07-30T11:54:15.868110+00:00
29,Test Engineer | Slovakia,linkedin,Automation Tester (Bratislava/Zilina/Kosice) (f/m/d),Siemens Healthineers,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/automation-tester-bratislava-zilina-kosice-f-m-d-at-siemens-healthineers-4423655650,2026-07-30T11:54:55.101162+00:00
29,Test Engineer | USA,linkedin,"Test Engineer, Amazon Devices Reverse Logistics",Amazon Lab126,"Lexington, KY",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/test-engineer-amazon-devices-reverse-logistics-at-amazon-lab126-4443041070,2026-07-30T11:55:02.496525+00:00
29,Testingenieur | Slovakia,linkedin,Tester s nemeckým jazykom (ž/m),Siemens,"Žilina, Zilina, Slovakia",Remote,Full-time,C,R,English,,,Recent,https://sk.linkedin.com/jobs/view/tester-s-nemeck%C3%BDm-jazykom-%C5%BE-m-at-siemens-4423952200,2026-07-30T11:55:17.705818+00:00
29,Testingenieur | USA,linkedin,System Level Test Engineer,NVIDIA,"Santa Clara, CA",On-site,Contract,"Bash, Can, Firmware, Python, Shell","Soc, Linux",English,,,Recent,https://www.linkedin.com/jobs/view/system-level-test-engineer-at-nvidia-4437934172,2026-07-30T11:55:24.997019+00:00
29,Python Developer | Poland,linkedin,Python Developer,Intellias,Poland,On-site,Full-time,Python,,English,,,Recent,https://pl.linkedin.com/jobs/view/python-developer-at-intellias-4437171021,2026-07-30T11:56:06.222790+00:00
29,Python Test | Poland,linkedin,Python Engineer — Evaluator Library,Intellias,Poland,On-site,Full-time,Python,,English,,,Recent,https://pl.linkedin.com/jobs/view/python-engineer-%E2%80%94-evaluator-library-at-intellias-4444565640,2026-07-30T11:56:28.144680+00:00
29,Python Test | USA,linkedin,"Manufacturing Test Engineer, Manufacturing Test Engineer",Amazon Web Services (AWS),"Florence, KY",On-site,Full-time,,"Amazon Web Services, Aws",English,,,Recent,https://www.linkedin.com/jobs/view/manufacturing-test-engineer-manufacturing-test-engineer-at-amazon-web-services-aws-4443023773,2026-07-30T11:56:30.622191+00:00
29,Firmware Engineer | Germany,linkedin,"Firmware Engineer, Amazon Robotics",Amazon,"Munich, Bavaria, Germany",On-site,Full-time,Firmware,,English,,,Recent,https://de.linkedin.com/jobs/view/firmware-engineer-amazon-robotics-at-amazon-4443058110,2026-07-30T11:56:35.580210+00:00
29,Firmware Engineer | Austria,linkedin,Embedded Crypto Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/embedded-crypto-software-developer-m-f-d-at-nxp-semiconductors-4431883741,2026-07-30T11:56:37.992357+00:00
29,Firmware Engineer | Slovakia,linkedin,C++ Developer (ž/m),Siemens,"Žilina, Zilina, Slovakia",Remote,Full-time,"C, C++","Git, R",English,,,Recent,https://sk.linkedin.com/jobs/view/c%2B%2B-developer-%C5%BE-m-at-siemens-4404730366,2026-07-30T11:56:45.445826+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Engineer II, Ring, Ring",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-engineer-ii-ring-ring-at-amazon-4443040904,2026-07-30T11:56:50.191732+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Dev Engineer, Ring Devices",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-dev-engineer-ring-devices-at-amazon-4443038197,2026-07-30T11:56:50.192053+00:00
29,Firmware Engineer | United Kingdom,linkedin,"Embedded Software Engineer, Ring",Amazon,"Cambridge, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/embedded-software-engineer-ring-at-amazon-4443037143,2026-07-30T11:56:55.049925+00:00
