relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Senior Test Manager (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://www.xing.com/jobs/hannover-senior-test-manager-155410504,2026-07-20T13:05:46.368171+00:00
14,Tester | Germany,xing,Eine Testmanagerin / Ein Testmanager (m/w/d) für komplexe Softwareentwicklung im Bereich der Öffentlichen Sicherheit,XING Employer,Germany/Remote,Remote,Full-time,,R,German,Test Manager,,Recent,https://www.xing.com/jobs/koeln-testmanagerin-testmanager-komplexe-softwareentwicklung-bereich-oeffentlichen-sicherheit-155681970,2026-07-20T13:05:46.368656+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer - Testautomatisierung / API Testing / Mobile Apps / Mobile Devices (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/wiesbaden-senior-qa-engineer-testautomatisierung-api-testing-mobile-apps-mobile-devices-156476792,2026-07-20T13:06:42.868120+00:00
14,QA Engineer | Germany,xing,Support Consultant (m/w/d) CS/QA,XING Employer,Germany/Remote,Remote,Full-time,,Consultant,English,Consultant,,Recent,https://www.xing.com/jobs/bautzen-support-consultant-cs-qa-156223384,2026-07-20T13:06:42.868593+00:00
14,Test Engineer | Germany,xing,Embedded Software Test Engineer und Test Manager m/w/d,XING Employer,Germany/Remote,Remote,Full-time,,,German,Test Manager,,Recent,https://www.xing.com/jobs/aschheim-embedded-software-test-engineer-test-manager-156306066,2026-07-20T13:07:39.481658+00:00
14,Test Engineer | Germany,xing,Senior Test Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/bern-senior-test-engineer-155882168,2026-07-20T13:07:39.482088+00:00
14,Firmware Engineer | Germany,xing,Senior Firmwareentwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/klingenberg-main-senior-firmwareentwickler-155249032,2026-07-20T13:12:24.932247+00:00
14,Firmware Engineer | Germany,xing,Senior Firmware Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,Firmware,Senior,English,Senior,,Recent,https://www.xing.com/jobs/munich-firmware-engineer-153279685,2026-07-20T13:12:24.933002+00:00
14,Firmware Engineer | Germany,xing,Embedded Hardware Engineer m/w/d,HAWE Hydraulik SE,Aschheim,Remote,Full-time,Hil,"R, Senior, Iso 26262",German,Senior,,Recent,https://www.xing.com/jobs/aschheim-embedded-hardware-engineer-156306068,2026-07-20T13:12:24.933125+00:00
0,Tester | Germany,xing,QA Engineer / Test-Engineer* Hard- & Software Zutrittskontrolltechnik,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/albstadt-qa-engineer-test-engineer-hard-software-zutrittskontrolltechnik-156335765,2026-07-20T13:05:46.368002+00:00
0,Tester | Germany,xing,Servicemonteur/in für Prüfanlagen der Luftfahrtindustrie im Großraum Hamburg (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,R,German,,,Recent,https://www.xing.com/jobs/neu-wulmstorf-servicemonteur-pruefanlagen-luftfahrtindustrie-grossraum-hamburg-154790442,2026-07-20T13:05:46.368286+00:00
