relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,"C, Hil","C#, R, Jira, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-05-21T13:00:06.874533+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Großraum München",On-site,Freelance,"C, C++","C#, Matlab, Expert, R, Freelancer, Lead",German,"Expert, Freelancer, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-05-21T13:02:10.834055+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Consultant, R, Lead",German,"Consultant, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-consultant-marketing-automation-marketing-technology-transformation-b2c-m-w-d-105944,2026-05-21T13:04:17.862791+00:00
0,Tester | Germany,solcom,Ver­fah­rens­in­ge­nieur Pe­tro­che­mie (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verfahrensingenieur-petrochemie-m-w-d-1015434,2026-05-21T13:00:06.873441+00:00
0,Tester | Germany,solcom,In­be­trieb­nah­me In­ge­nieur (m/w/d),SOLCOM Client,"D1, Rostock",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/inbetriebnahme-ingenieur-m-w-d-105943,2026-05-21T13:00:06.873604+00:00
0,Tester | Germany,solcom,Rock­well Pro­gram­mie­rer (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/rockwell-programmierer-m-w-d-1014852,2026-05-21T13:00:06.873763+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,"D2, Bremen",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-105842,2026-05-21T13:00:06.873892+00:00
0,Tester | Germany,solcom,Fach­pla­ner Kanal und Ent­wäs­se­rungs­pla­nung (m/w/d),SOLCOM Client,"Remote, Braunschweig",Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachplaner-kanal-und-entwaesserungsplanung-m-w-d-1014835,2026-05-21T13:00:06.874025+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauingenieur-fachingenieur-m-w-d-1014807,2026-05-21T13:00:06.874156+00:00
0,Tester | Germany,solcom,HIL Tes­ter im Be­reich E/E (m/w/d),SOLCOM Client,"D3, Großraum Wolfsburg",On-site,Freelance,Hil,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-105721,2026-05-21T13:00:06.874284+00:00
0,Tester | Germany,solcom,Soft­ware-Tes­t­in­ge­nieur / Qua­li­fi­ka­ti­ons­in­ge­nieur (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-05-21T13:00:06.874407+00:00
0,Tester | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,Regensburg,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-05-21T13:00:06.874657+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote/Biberach",Remote,Freelance,"C, C++, Can, Java","R, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-m-w-d-106030,2026-05-21T13:02:10.832615+00:00
0,Test Engineer | Germany,solcom,"Pro­jekt­in­ge­nieur Leit­tech­nik (Unter-/Um­spann­wer­ke, En­er­gie­an­la­gen) (m/w/d)",SOLCOM Client,"CH, Nordschweiz",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektingenieur-leittechnik-unter-umspannwerke-energieanlagen-m-w-d-106029,2026-05-21T13:02:10.832831+00:00
