relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-07-30T12:21:03.410972+00:00
14,QA Engineer | Germany,gulp,Senior Project Manager (m/f/d) CMS & Online Marketing - Predominantly remote,GULP Client,Location: siehe Beschreibung,Remote,Freelance,,"Project Manager, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a6b4046c72c703a51e25c0a,2026-07-30T12:21:53.452224+00:00
14,QA Engineer | Germany,gulp,Senior PostgreSQL Database Expert (m/f/d),GULP Client,"Location: D9, & Remote",Remote,Freelance,,"Postgresql, Expert, Senior",English,"Expert, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/92f973128c0011f194a5c6f993278132,2026-07-30T12:21:53.454855+00:00
14,QA Engineer | Germany,gulp,Senior RailwayEngineer(m/f/d) – IoT & Predictive Maintenance,GULP Client,Location: Kronberg im Taunus,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316686,2026-07-30T12:21:53.457369+00:00
14,QA Engineer | Germany,gulp,Senior Mechanical DesignEngineer– Automotive Key Fobs (m/f/d),GULP Client,Location: D93,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a6addd6c72c703a51e21f31,2026-07-30T12:21:53.458449+00:00
14,Test Automation | Germany,gulp,Solution Architect (m/f/d) for Maintenance and Further Development,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Architect, Solution Architect",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316792,2026-07-30T12:24:27.256515+00:00
14,Test Automation | Germany,gulp,Mid/Senior Android QA &Test AutomationEngineer - fraenk App - 90% remote,GULP Client,Location: Cologne,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316645,2026-07-30T12:24:27.257638+00:00
14,Test Automation | Germany,gulp,Enterprise Architect (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01315783,2026-07-30T12:24:27.259481+00:00
14,Test Automation | Germany,gulp,Test Manager /Test AutomationEngineer (m/f/d) Pega Low Code Platform - Remote & Stuttgart,GULP Client,Location: Stuttgart,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a6233cacd715a156e3b76c2,2026-07-30T12:24:27.260373+00:00
14,Test Automation | Germany,gulp,Partner company DevOps (m/f/d) GitLab / Docker CI/CD expert - Remote and Frankfurt,GULP Client,Location: Frankfurt am Main,Remote,Freelance,Ci/Cd,"Gitlab, Docker, Expert, Devops",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a58eab17de272303f00b14b,2026-07-30T12:24:27.262568+00:00
14,Python Developer | Germany,gulp,SAP Order to Cash Expert (m/f/d) Complaint or Credit Risk Management - Remote & Greater Cologne Area,GULP Client,Location: Großraum Köln,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a6b421fe14658e1d769eb46,2026-07-30T12:25:17.202797+00:00
14,Python Developer | Germany,gulp,Migration expert Databricks platform (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,"Databricks, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/377830808c1111f194a5c6f993278132,2026-07-30T12:25:17.203398+00:00
14,Python Developer | Germany,gulp,SAP HR-IT Consultant (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/38cb70968c1111f194a5c6f993278132,2026-07-30T12:25:17.204009+00:00
14,Python Developer | Germany,gulp,Consultant in the field of energy consumption billing for SAP S/4 HANA Utilities (m/f/d),GULP Client,"Location: Remote, Münster (punktuell)",Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f2ec3b448c0811f194a5c6f993278132,2026-07-30T12:25:17.205585+00:00
14,Python Developer | Germany,gulp,Senior SAP IS-U FI-CA Consultant/Technical Lead for Rollout Project (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,"Lead, Consultant, Senior",English,"Consultant, Lead, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f4d888048c0811f194a5c6f993278132,2026-07-30T12:25:17.206158+00:00
14,Python Developer | Germany,gulp,IT architect / OSPlus specialist (m/f/d),GULP Client,"Location: Münster, Westfalen",On-site,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316879,2026-07-30T12:25:17.207012+00:00
14,Python Developer | Germany,gulp,Senior IT Project Manager for Multi-Project Management,GULP Client,Location: Munich,Remote,Freelance,,"Project Manager, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316796,2026-07-30T12:25:17.207470+00:00
14,Python Test | Germany,gulp,UFS Expert (m/f/d),GULP Client,"Location: D7, Remote",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e7aaf93c8c0811f194a5c6f993278132,2026-07-30T12:26:06.511593+00:00
14,Python Test | Germany,gulp,Senior PCS7 Commissioning Engineer (m/f/d),GULP Client,"Location: D4, Flensburg",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/af8f42a48b6a11f194a5c6f993278132,2026-07-30T12:26:06.516208+00:00
