relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,IOT Test Manager (m/w/d),Hays Client,Hinwil,On-site,Contract,,,German,Test Manager,,06.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-iot-test-manager-hinwil-865070/1,2026-03-09T10:49:00.185338+00:00
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-03-09T10:49:00.186178+00:00
14,Tester | Germany,hays,Testmanager eDrive gem. ISO 26262  (m/w/d),Hays Client,Affalterbach,On-site,Contract,,Iso 26262,German,Test Manager,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-edrive-gem-iso-26262--affalterbach-863460/1,2026-03-09T10:49:00.186690+00:00
14,Tester | Germany,hays,Senior Embedded Instrument Control Tester  (m/f/d),Hays Client,Rotkreuz,On-site,Contract,,Senior,English,Senior,,23.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-instrument-control-tester--rotkreuz-862979/1,2026-03-09T10:49:00.186968+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Postgresql, Microservices, Mongodb, Spring Boot, Senior, Kubernetes",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-03-09T10:49:21.982158+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"Senior, R",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-03-09T10:49:21.982693+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-03-09T10:49:45.155511+00:00
14,Test Engineer | Germany,hays,Senior Quality Engineer (m/w/d),Hays Client,Gießen,On-site,Contract,,Senior,German,Senior,,02.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-engineer-giessen-828402/1,2026-03-09T10:49:45.159929+00:00
14,Test Automation | Germany,hays,Senior Prozessingenieur (m/w/d),Hays Client,München,On-site,Contract,,"Senior, R",German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-prozessingenieur-muenchen-852498/1,2026-03-09T10:50:30.533993+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Gitlab, Gitlab Ci, Canoe, Azure, Autosar, R, Expert, Iso 26262, Devops",German,Expert,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-03-09T10:50:30.534752+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Linux, Senior",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-03-09T10:50:30.537064+00:00
14,Python Developer | Germany,hays,Senior Web Application Developer (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,"Senior, Azure, R",German,Senior,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-web-application-developer-baden-wuerttemberg-864751/1,2026-03-09T10:50:52.665604+00:00
14,Python Developer | Germany,hays,Senior Data Warehouse Developer (Databricks) (m/f/d),Hays Client,Austria,On-site,Contract,"Ci/Cd, Github Actions, Python","Sql, Github, Senior, Databricks",English,Senior,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-data-warehouse-developer-databricks-austria-863468/1,2026-03-09T10:50:52.666177+00:00
14,Python Test | Germany,hays,(Senior) Softwareentwickler mit Schwerpunkt TypeScript (m/w/d),Hays Client,Würzburg – Remote-friendly innerhalb DE; optional onsite/hybrid,Remote,Contract,Typescript,"Senior, R",German,Senior,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-softwareentwickler-mit-schwerpunkt-typescript-wuerzburg--remote-friendly-innerhalb-de-optional-onsite-hybrid-850433/1,2026-03-09T10:51:13.726030+00:00
0,Tester | Germany,hays,Supplier Quality Management (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-quality-management-schleswig-holstein-864038/1,2026-03-09T10:49:00.185028+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Kassel,On-site,Contract,,,German,,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-864835/1,2026-03-09T10:49:00.185609+00:00
0,Tester | Germany,hays,Softwareentwickler/Tester Python (m/w/d),Hays Client,Freiburg,On-site,Contract,Python,,German,,,04.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-tester-python-freiburg-864601/1,2026-03-09T10:49:00.185860+00:00
