relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
33,Test Automation | Germany,hays,Lead Engineer oder Experte Stationsleittechnik in der Energieversorgung(m/w/d),Hays Client,Erlangen,On-site,Contract,,"Lead, R",,"Lead, Expert",,02.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-oder-experte-stationsleittechnik-in-der-energieversorgung-erlangen-852227/1,2026-02-11T10:53:57.422822+00:00
20,Tester | Germany,hays,Systems Engineer / Functional Safety Expert(m/w/d),Hays Client,Mannheim,On-site,Contract,,Expert,,Expert,,23.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systems-engineer-functional-safety-expert-mannheim-858329/1,2026-02-11T10:52:45.838394+00:00
20,Tester | Germany,hays,Projektmanager Vertrieb - Energie(m/w/d),Hays Client,Augsburg,On-site,Contract,,Lead,,Lead,,05.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektmanager-vertrieb-energie-augsburg-852793/1,2026-02-11T10:52:45.839679+00:00
20,QA Engineer | Germany,hays,Senior Backend Software Engineer(m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Microservices, Kubernetes, Postgresql, Spring Boot, Spring, Senior, Mongodb",,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-11T10:53:06.154633+00:00
20,QA Engineer | Germany,hays,Senior Cloud Engineer(m/w/d),Hays Client,Nürnberg,On-site,Contract,,"R, Senior",,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-02-11T10:53:06.155424+00:00
20,QA Engineer | Germany,hays,DevOps Engineer / Data Engineer for Data Platform Solutions(m/w/d),Hays Client,Poing,On-site,Contract,,"Devops, R",,Expert,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-data-engineer-for-data-platform-solutions--poing-852646/1,2026-02-11T10:53:06.155633+00:00
20,Test Engineer | Germany,hays,Senior Software Engineer Qt / C++(m/w/d),Hays Client,Berlin,On-site,Contract,"C, C++","R, Senior",,Senior,,09.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-qt-c-berlin-858527/1,2026-02-11T10:53:21.796073+00:00
20,Test Engineer | Germany,hays,Software Engineer DSL / JetBrainsMPS(m/w/d),Hays Client,Nürnberg,On-site,Contract,,,,Expert,,08.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-dsl-jetbrainsmps-nuernberg-835102/1,2026-02-11T10:53:21.797643+00:00
20,Test Engineer | Germany,hays,Senior Test Automation Engineer(m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,,Senior,,23.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-02-11T10:53:21.798977+00:00
20,Test Engineer | Germany,hays,Senior Software Engineer Java(m/w/d),Hays Client,Bundesweit,On-site,Contract,Java,Senior,,Senior,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-java-bundesweit-845396/1,2026-02-11T10:53:21.799161+00:00
20,Testingenieur | Germany,hays,Testingenieur IMU(m/w/d),Hays Client,Kusterdingen,On-site,Contract,,R,,Expert,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-imu-kusterdingen-859228/1,2026-02-11T10:53:40.781915+00:00
20,Test Automation | Germany,hays,Validation & Qualification Engineer – IT/OT Robotics(m/w/d),Hays Client,Mannheim,On-site,Contract,,R,,Expert,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validation-qualification-engineer--it-ot-robotics-mannheim-858088/1,2026-02-11T10:53:57.420832+00:00
20,Test Automation | Germany,hays,Savvy Berater(m/w/d),Hays Client,Remote,Remote,Contract,,,,Principal,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-savvy-berater--remote-860283/1,2026-02-11T10:53:57.421031+00:00
20,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Linux, Senior",,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-02-11T10:53:57.421657+00:00
20,Test Automation | Germany,hays,Teamlead Quality Assurance(m/w/d),Hays Client,Hamburg,On-site,Contract,,R,,Lead,,15.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-quality-assurance--hamburg-854242/1,2026-02-11T10:53:57.422240+00:00
20,Test Automation | Germany,hays,CI/CD/CT Expert Automotive(m/w/d),Hays Client,Chemnitz,On-site,Contract,"Hil, Ci/Cd, Jenkins","Gitlab Ci, Canoe, Devops, Iso 26262, Azure, Gitlab, R, Expert, Autosar",,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-automotive-chemnitz-847500/1,2026-02-11T10:53:57.423007+00:00
20,Test Automation | Germany,hays,CI/CD/CT Expert(m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Ci/Cd, Jenkins","Gitlab Ci, Canoe, Devops, Iso 26262, Azure, Gitlab, R, Expert, Autosar",,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-02-11T10:53:57.423200+00:00
20,Python Developer | Germany,hays,Senior Software Developer(m/w/d),Hays Client,Rheine,On-site,Contract,Python,"Junior, R, Senior",,Senior,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-rheine-852449/1,2026-02-11T10:54:15.574695+00:00
