relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-06-29T14:15:06.791730+00:00
14,Tester | Germany,hays,Fullstack Java Developer (m/w/d),Hays Client,Köln,On-site,Contract,Java,"Angular, Scrum, R, Expert",German,Expert,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-java-developer-koeln-881803/1,2026-06-29T14:15:06.792748+00:00
14,Tester | Germany,hays,Test Manager(m/w/d),Hays Client,München,On-site,Contract,,,English,Test Manager,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-manager-muenchen-879159/1,2026-06-29T14:15:06.793654+00:00
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore)(m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-06-29T14:15:06.794311+00:00
14,Tester | Germany,hays,Experte SAP Testing(m/w/d),Hays Client,Hybrid,Hybrid,Contract,,Expert,English,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-06-29T14:15:06.794525+00:00
14,Test Engineer | Austria,hays,System Engineer / System Architect – Onboard Charger (OBC)(m/w/d),Hays Client,Kassel,On-site,Contract,,"System Architect, Architect",English,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-06-29T14:21:09.701008+00:00
14,Test Engineer | Austria,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement(m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,English,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-06-29T14:21:09.701481+00:00
14,Test Engineer | Austria,hays,Senior Hardware Development Engineer(m/w/d),Hays Client,Speyer,On-site,Contract,,Senior,English,Senior,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hardware-development-engineer-speyer-880202/1,2026-06-29T14:21:09.701922+00:00
14,Test Engineer | Austria,hays,Senior Supplier Quality Engineer(m/w/d),Hays Client,Dresden,On-site,Contract,,Senior,English,Senior,,26.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-supplier-quality-engineer-dresden-878527/1,2026-06-29T14:21:09.702997+00:00
14,Test Engineer | Austria,hays,Lead Quality Engineer / Test Automation(m/w/d),Hays Client,München,On-site,Contract,Test Automation,Lead,English,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-06-29T14:21:09.703217+00:00
14,Testingenieur | Austria,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-06-29T14:23:36.010261+00:00
14,Test Automation | Germany,hays,Senior HR Analytics Consultant (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,"R, Consultant, Senior",German,"Consultant, Senior",,29.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hr-analytics-consultant-herzogenaurach-883356/1,2026-06-29T14:25:11.705509+00:00
14,Test Automation | Germany,hays,Bauleiter Elektro (Schiffbau) (m/w/d),Hays Client,Norddeutschland,On-site,Contract,,"Freelancer, R",German,Freelancer,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauleiter-elektro-schiffbau-norddeutschland-883209/1,2026-06-29T14:25:11.705718+00:00
14,Test Automation | Germany,hays,Senior IT Projektmanager Labvantage (m/w/d),Hays Client,Ulm,On-site,Contract,,Senior,German,Senior,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-it-projektmanager-labvantage-ulm-879923/1,2026-06-29T14:25:11.707028+00:00
14,Test Automation | Germany,hays,Projektmanager Technik / Pentester  (m/w/d),Hays Client,München,On-site,Contract,,"Expert, R",German,Expert,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektmanager-technik-pentester--muenchen-877325/1,2026-06-29T14:25:11.707879+00:00
14,Test Automation | Germany,hays,Cybersecurity Auditor / Consultant (m/w/d),Hays Client,München,On-site,Contract,,"R, Consultant",German,Consultant,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cybersecurity-auditor-consultant-muenchen-877327/1,2026-06-29T14:25:11.708090+00:00
14,Python Developer | Germany,hays,Senior Software Developer(m/w/d),Hays Client,München,On-site,Contract,,Senior,English,Senior,,23.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-muenchen-882356/1,2026-06-29T14:27:23.024596+00:00
14,Python Test | Germany,hays,Python Architect (m/w/d),Hays Client,Münster,On-site,Contract,"Ci/Cd, Python","Architect, R, Devops",German,Architect,,25.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-python-architect-muenster-881422/1,2026-06-29T14:28:45.628721+00:00
14,Python Test | Germany,hays,Senior Platform Engineer Kubernetes (m/w/d),Hays Client,Remote,Remote,Contract,,"R, Kubernetes, Senior",German,Senior,,17.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-platform-engineer-kubernetes-remote-881574/1,2026-06-29T14:28:45.629389+00:00
14,Python Test | Germany,hays,After-Market Quality Test Engineer (m/f/d),Hays Client,Raunheim,On-site,Contract,,"Lead, R, Jira",English,Lead,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-after-market-quality-test-engineer-raunheim-880596/1,2026-06-29T14:28:45.629608+00:00
14,Python Test | Germany,hays,Senior Integration/ Test Engineer ( ATM VOICE System)  (m/w/d),Hays Client,Wien,On-site,Contract,,"Linux, Senior, Gitlab, R, Project Manager",German,Senior,,09.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-integration--test-engineer--atm-voice-system--wien-880434/1,2026-06-29T14:28:45.630028+00:00
14,Python Test | Germany,hays,Digital Verification UWB Expert (m/f/d),Hays Client,Remote,Remote,Contract,Python,"Lead, Expert, Matlab",English,"Expert, Lead",,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-verification-uwb-expert-remote-868600/1,2026-06-29T14:28:45.632466+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,"R, Fastapi, Senior",German,Senior,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-865759/1,2026-06-29T14:28:45.632673+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Kassel,On-site,Contract,,,German,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-882001/1,2026-06-29T14:15:06.791986+00:00
0,Tester | Germany,hays,Hardware Test Ingenieur (m/w/d),Hays Client,Großraum Karlsruhe,On-site,Contract,"System Testing, Test Automation",,German,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-test-ingenieur-grossraum-karlsruhe-881512/1,2026-06-29T14:15:06.792290+00:00
0,Tester | Germany,hays,Software Tester and User Enablement Specialist(m/w/d),Hays Client,Berlin,On-site,Contract,,,English,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-and-user-enablement-specialist-berlin-881942/1,2026-06-29T14:15:06.792532+00:00
0,Tester | Germany,hays,System Test & Validation Engineer – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-test-validation-engineer--onboard-charger-obc-kassel-881860/1,2026-06-29T14:15:06.792974+00:00
