relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Lead Test An­bin­dung En­er­gie­da­ten­ma­nage­ment (m/w/d),SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-02-21T10:34:53.051259+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, Senior, Linux, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-02-21T10:34:53.051921+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,Can,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-02-21T10:34:53.052124+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Senior, Lead",English,"Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-02-21T10:35:54.277005+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Ci/Cd,"Scrum Master, Agile, Freelancer, Azure, Safe, Scrum, Devops, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/scrum-master-agile-coach-m-w-d-104467,2026-02-21T10:36:54.325896+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Remote",Remote,Freelance,,"Senior, R",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-02-21T10:36:54.326251+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,Remote,Freelance,,"Canoe, Lead, R",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-02-21T10:36:54.326650+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Project Manager, Ansible, Freelancer, Linux, Docker, Senior, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-21T10:36:54.326751+00:00
14,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote",Remote,Freelance,"C, Hil, Microcontroller, Python, Test Automation","Freelancer, Linux, Iso 26262, Aspice, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-system-testingenieur-m-w-d-103932,2026-02-21T10:37:54.500842+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"C, C++, Ci/Cd","Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-02-21T10:38:56.067939+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","Freelancer, Architect, R",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-02-21T10:38:56.068167+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Konstanz",Remote,Freelance,"C, C++, Python","Deep Learning, Architect, Aws, R",German,Architect,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-systems-architect-industrial-ml-m-w-d-104315,2026-02-21T10:40:55.148274+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, vorwiegend vor Ort",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ingenieur-verfahrenstechniker-inbetriebnahme-nass-trockenreinigungsanlagen-m-w-d-104453,2026-02-21T10:34:53.051113+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D0,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/technische-dokumentation-m-w-d-104389,2026-02-21T10:34:53.051378+00:00
0,Tester | Germany,solcom,"Busi­ness Ana­ly­se / Custo­mi­zing SAP (Pro­duk­te Kasse, Kre­dit, Kau­ti­on - FS-CD) (m/w/d)",SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-02-21T10:34:53.051484+00:00
0,Tester | Germany,solcom,Test­ma­na­ger SAP Cloud ALM ( CALM) (m/w/d),SOLCOM Client,D3,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-02-21T10:34:53.051589+00:00
0,Tester | Germany,solcom,Bau­über­wa­cher Tief­bau (m/w/d),SOLCOM Client,"D9, Meiningen/Pfersdorf",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-tiefbau-m-w-d-104160,2026-02-21T10:34:53.051698+00:00
0,Tester | Germany,solcom,SAP Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-21T10:34:53.051802+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,C,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ce-koordinator-m-w-d-104059,2026-02-21T10:34:53.052025+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Lindau am Bodensee",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikations-qualifikations-validierungsingenieur-im-bereich-luftfahrt-m-w-d-104465,2026-02-21T10:36:54.326030+00:00
0,Test Engineer | Germany,solcom,En­gi­neer Wind­park Steue­rung/Con­fi­gu­ra­ti­on En­gi­neer (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-configuration-engineer-m-w-d-104410,2026-02-21T10:36:54.326147+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-02-21T10:36:54.326349+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"Can, System Testing, Test Automation","Canoe, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-02-21T10:36:54.326552+00:00
0,Test Engineer | Germany,solcom,Test En­gi­neer ICT (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-103885,2026-02-21T10:36:54.326976+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-02-21T10:37:54.500718+00:00
0,Test Automation | Germany,solcom,Jira & At­las­si­an Ex­per­te (m/w/d),SOLCOM Client,"D2, Lüneburg",On-site,Freelance,,Jira,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-02-21T10:38:56.067427+00:00
0,Test Automation | Germany,solcom,IT-Ex­per­te (De­ve­l­oper / Pro­ject Ana­lyst) (m/w/d),SOLCOM Client,D1,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-experte-developer-project-analyst-m-w-d-104379,2026-02-21T10:38:56.067705+00:00
0,Firmware Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Firmware, Microcontroller","Esp32, Machine Learning, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-mikrocontroller-portierung-esp-zu-nxp-m-w-d-104460,2026-02-21T10:41:57.147015+00:00
