relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,IOT Test Manager (m/w/d),Hays Client,Hinwil,On-site,Contract,,,German,Test Manager,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-iot-test-manager-hinwil-865070/1,2026-03-15T10:33:06.663490+00:00
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-03-15T10:33:06.664288+00:00
14,Tester | Germany,hays,Testmanager eDrive gem. ISO 26262  (m/w/d),Hays Client,Affalterbach,On-site,Contract,,Iso 26262,German,Test Manager,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-edrive-gem-iso-26262--affalterbach-863460/1,2026-03-15T10:33:06.664788+00:00
14,Tester | Germany,hays,Senior Embedded Instrument Control Tester  (m/f/d),Hays Client,Rotkreuz,On-site,Contract,,Senior,English,Senior,,23.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-instrument-control-tester--rotkreuz-862979/1,2026-03-15T10:33:06.665076+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Microservices, Senior, Kubernetes, Postgresql, Spring Boot, Mongodb",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-03-15T10:33:29.576384+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"Senior, R",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-03-15T10:33:29.576917+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-03-15T10:33:52.450239+00:00
14,Test Automation | Germany,hays,AI Security Red Team Lead (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,"Team Lead, Lead, R",German,Lead,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-security-red-team-lead-nordrhein-westfalen-862390/1,2026-03-15T10:34:36.900126+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Gitlab, Iso 26262, Canoe, Azure, Devops, Expert, Autosar, Gitlab Ci, R",German,Expert,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-03-15T10:34:36.902462+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Senior, Linux",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-03-15T10:34:36.904532+00:00
14,Python Developer | Germany,hays,Senior Web Application Developer (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,"Senior, Azure, R",German,Senior,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-web-application-developer-baden-wuerttemberg-864751/1,2026-03-15T10:35:01.232796+00:00
14,Python Developer | Germany,hays,Senior Data Warehouse Developer (Databricks) (m/f/d),Hays Client,Austria,On-site,Contract,"Ci/Cd, Github Actions, Python","Senior, Databricks, Sql, Github",English,Senior,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-data-warehouse-developer-databricks-austria-863468/1,2026-03-15T10:35:01.233534+00:00
14,Python Test | Germany,hays,GIS Integration Consultant (Only Nearshore & Offshore) (m/f/d),Hays Client,Remote,Remote,Contract,Python,Consultant,English,Consultant,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-gis-integration-consultant-only-nearshore-offshore-remote-866056/1,2026-03-15T10:35:23.855770+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,"Senior, R, Fastapi",German,Senior,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-865759/1,2026-03-15T10:35:23.857370+00:00
14,Python Test | Germany,hays,(Senior) Softwareentwickler mit Schwerpunkt TypeScript (m/w/d),Hays Client,Würzburg – Remote-friendly innerhalb DE; optional onsite/hybrid,Remote,Contract,Typescript,"Senior, R",German,Senior,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-softwareentwickler-mit-schwerpunkt-typescript-wuerzburg--remote-friendly-innerhalb-de-optional-onsite-hybrid-850433/1,2026-03-15T10:35:23.860206+00:00
0,Tester | Germany,hays,Versuchsingenieur Gesamtfahrzeug (Exterieur) (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,,German,,,12.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versuchsingenieur-gesamtfahrzeug-exterieur-baden-wuerttemberg-865926/1,2026-03-15T10:33:06.662087+00:00
0,Tester | Germany,hays,BTV Getriebe eBike Systems  (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-btv-getriebe-ebike-systems--reutlingen-865651/1,2026-03-15T10:33:06.662383+00:00
0,Tester | Germany,hays,Bauteilverantwortlicher (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauteilverantwortlicher-reutlingen-865633/1,2026-03-15T10:33:06.662652+00:00
0,Tester | Germany,hays,Testspezialist (m/w/d),Hays Client,Berlin,On-site,Contract,Java,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testspezialist-berlin-865551/1,2026-03-15T10:33:06.662910+00:00
0,Tester | Germany,hays,Hardware-Tester (m/w/d),Hays Client,Bayern,On-site,Contract,,,German,,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-tester-bayern-865426/1,2026-03-15T10:33:06.663224+00:00
0,Tester | Germany,hays,Supplier Quality Management (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-quality-management-schleswig-holstein-864038/1,2026-03-15T10:33:06.663748+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Kassel,On-site,Contract,,,German,,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-864835/1,2026-03-15T10:33:06.664020+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Sil",Mil,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-wolfsburg-841316/1,2026-03-15T10:33:06.664542+00:00
0,Tester | Germany,hays,Test Engineer (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,12.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-zug-861396/1,2026-03-15T10:33:06.665341+00:00
0,Tester | Germany,hays,Digital Business Solution Professional (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-business-solution-professional-herzogenaurach-860968/1,2026-03-15T10:33:06.665604+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-03-15T10:33:06.665863+00:00
0,Tester | Germany,hays,Biocomp Manager (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-biocomp-manager-schleswig-holstein-860740/1,2026-03-15T10:33:06.666140+00:00
0,QA Engineer | Germany,hays,Qualitätssicherer / QS / Qualitätssicherung (m/w/d),Hays Client,Hochtaunuskreis,On-site,Contract,,,German,,,19.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetssicherer-qs-qualitaetssicherung-hochtaunuskreis-862506/1,2026-03-15T10:33:29.575551+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Angular, Intern, Devops, Git, Docker, Spring Boot",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-03-15T10:33:29.575830+00:00
0,QA Engineer | Germany,hays,Chief Chemical Engineer / Manager (m/f/d),Hays Client,Denmark,On-site,Contract,,,English,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-chief-chemical-engineer-manager-denmark-855248/1,2026-03-15T10:33:29.576664+00:00
0,Test Engineer | Germany,hays,KI - Engineer / AI - Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,"Python, Rag",R,German,,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ki-engineer-ai-engineer-frankfurt-am-main-866190/1,2026-03-15T10:33:52.448889+00:00
0,Test Engineer | Germany,hays,Java Test Engineer (m/w/d),Hays Client,Raum Stuttgart,On-site,Contract,"Ci/Cd, Java","Gitlab, Linux, Gitlab Ci, Jira, R",German,,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-java-test-engineer-raum-stuttgart-866001/1,2026-03-15T10:33:52.449211+00:00
0,Test Engineer | Germany,hays,B&R Automation Engineer (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-b-r-automation-engineer-baden-wuerttemberg-862947/1,2026-03-15T10:33:52.449470+00:00
0,Test Engineer | Germany,hays,Automation Engineer (m/w/d),Hays Client,Sachsen-Anhalt,On-site,Contract,,,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automation-engineer-sachsen-anhalt-865390/1,2026-03-15T10:33:52.449724+00:00
0,Test Engineer | Germany,hays,AI-Governance Engineer (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,04.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-governance-engineer-duesseldorf-844512/1,2026-03-15T10:33:52.449992+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-850318/1,2026-03-15T10:33:52.450484+00:00
0,Test Engineer | Germany,hays,SOC Engineer  (m/w/d),Hays Client,Essen,On-site,Contract,,"Soc, Linux, R",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-soc-engineer--essen-863817/1,2026-03-15T10:33:52.450737+00:00
0,Test Engineer | Germany,hays,IT Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Ansible, Kubernetes",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-frankfurt-am-main-854031/1,2026-03-15T10:33:52.450997+00:00
0,Test Engineer | Germany,hays,Network & Security Engineer  (m/w/d),Hays Client,Remote,Remote,Contract,,,German,,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-network-security-engineer--remote-863410/1,2026-03-15T10:33:52.451245+00:00
0,Test Engineer | Germany,hays,Embedded Software Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-engineer-muenchen-862756/1,2026-03-15T10:33:52.451490+00:00
0,Test Engineer | Germany,hays,Power Electronics Hardware Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-power-electronics-hardware-engineer-muenchen-862757/1,2026-03-15T10:33:52.451736+00:00
0,Test Engineer | Germany,hays,Test Engineer Bremssysteme (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,24.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-bremssysteme-erlangen-863233/1,2026-03-15T10:33:52.451995+00:00
0,Test Engineer | Germany,hays,Security Engineer Web (m/w/d),Hays Client,Bayern,On-site,Contract,,,German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-engineer-web-bayern-861381/1,2026-03-15T10:33:52.452245+00:00
0,Test Engineer | Germany,hays,IT System Engineer Network (m/w/d),Hays Client,Nürnberg,On-site,Contract,,,German,,,11.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-system-engineer-network-nuernberg-860757/1,2026-03-15T10:33:52.452487+00:00
0,Test Engineer | Germany,hays,Software Engineer (Fokus: Input Management) (m/w/d),Hays Client,"Nürnberg, Hamburg oder Köln",On-site,Contract,C,C#,German,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-fokus--input-management-nuernberg-hamburg-oder-koeln-859399/1,2026-03-15T10:33:52.453282+00:00
0,Test Engineer | Germany,hays,Quality Engineer (m/w/d),Hays Client,München,On-site,Contract,,R,German,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-engineer-muenchen-853647/1,2026-03-15T10:33:52.453534+00:00
0,Test Engineer | Germany,hays,Hardware Engineer (m/w/d),Hays Client,Lippstadt,On-site,Contract,,R,German,,,25.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-engineer-lippstadt-827402/1,2026-03-15T10:33:52.453824+00:00
0,Testingenieur | Germany,hays,Testingenieur - Inbetriebnehmer  (m/w/d),Hays Client,Guxhagen,On-site,Contract,,"R, Project Manager",German,,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-inbetriebnehmer--guxhagen-864290/1,2026-03-15T10:34:15.348118+00:00
0,Testingenieur | Germany,hays,Prüfer Elektrotechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,,German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pruefer-elektrotechnik-frankfurt-am-main-858287/1,2026-03-15T10:34:15.348395+00:00
0,Test Automation | Germany,hays,Ingenieur Energietechnik Sekundärtechnik (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-energietechnik-sekundaertechnik-erlangen-830588/1,2026-03-15T10:34:36.901462+00:00
0,Test Automation | Germany,hays,Ingenieur Leittechnik Schaltanlagen (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-leittechnik-schaltanlagen-erlangen-852227/1,2026-03-15T10:34:36.901715+00:00
0,Test Automation | Germany,hays,Analyst Data Science  (m/w/d),Hays Client,frankfurt,On-site,Contract,,"R, Data Science",German,,,06.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-analyst-data-science--frankfurt-864539/1,2026-03-15T10:34:36.901977+00:00
0,Test Automation | Germany,hays,Versuchsingenieur (m/w/d),Hays Client,Aschaffenburg,On-site,Contract,,,German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versuchsingenieur-aschaffenburg-863728/1,2026-03-15T10:34:36.902707+00:00
0,Test Automation | Germany,hays,Technischer Angebotsmanager (m/w/d),Hays Client,Berlin,On-site,Contract,,,German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-technischer-angebotsmanager-berlin-857493/1,2026-03-15T10:34:36.902963+00:00
0,Test Automation | Germany,hays,IT Security & Compliance Analyst  (m/w/d),Hays Client,Hamburg,On-site,Contract,,R,German,,,23.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-security-compliance-analyst--hamburg-862836/1,2026-03-15T10:34:36.903452+00:00
0,Test Automation | Germany,hays,Automatisierungstechniker  (m/w/d),Hays Client,Mannheim,On-site,Contract,,,German,,,20.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automatisierungstechniker--mannheim-862607/1,2026-03-15T10:34:36.903701+00:00
0,Test Automation | Germany,hays,Softwareentwickler für Maschinensteuerungen (m/w/d),Hays Client,Chemnitz,On-site,Contract,,R,German,,,16.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-fuer-maschinensteuerungen-chemnitz-861923/1,2026-03-15T10:34:36.903992+00:00
0,Test Automation | Germany,hays,Teamlead Quality Assurance  (m/w/d),Hays Client,Hamburg,On-site,Contract,,R,German,,,15.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-quality-assurance--hamburg-854242/1,2026-03-15T10:34:36.904781+00:00
0,Test Automation | Germany,hays,Elektriker für Automatisierungstechnik (m/w/d),Hays Client,Mannheim,On-site,Contract,,R,German,,,18.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektriker-fuer-automatisierungstechnik-mannheim-826448/1,2026-03-15T10:34:36.905046+00:00
0,Python Developer | Germany,hays,GitHub Enterprise Spezialist (m/w/d),Hays Client,Hannover,On-site,Contract,"Ci/Cd, Github Actions, Java, Python","Kubernetes, Github, R",German,,,12.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-github-enterprise-spezialist-hannover-840643/1,2026-03-15T10:35:01.232065+00:00
0,Python Developer | Germany,hays,UI Prototyping Developer (m/w/d),Hays Client,Affalterbach,On-site,Contract,,R,German,,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ui-prototyping-developer-affalterbach-865539/1,2026-03-15T10:35:01.232442+00:00
0,Python Developer | Germany,hays,Fullstack Developer (m/w/d),Hays Client,Dresden,On-site,Contract,,"Product Owner, R",German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-developer-dresden-854294/1,2026-03-15T10:35:01.233191+00:00
0,Python Developer | Germany,hays,Backend Python Developer  (m/f/d),Hays Client,Basel Stadt,On-site,Contract,Python,Agile,English,,,24.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-backend-python-developer--basel-stadt-863129/1,2026-03-15T10:35:01.233883+00:00
0,Python Developer | Germany,hays,Frontend Entwickler  (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-frontend-entwickler--duesseldorf-854809/1,2026-03-15T10:35:01.234261+00:00
0,Python Developer | Germany,hays,Softwareentwickler (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-duesseldorf-851846/1,2026-03-15T10:35:01.234586+00:00
0,Python Test | Germany,hays,Data Scientist EU AI Act (m/w/d),Hays Client,Süddeutschland,On-site,Contract,,,German,,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-data-scientist-eu-ai-act-sueddeutschland-866057/1,2026-03-15T10:35:23.856336+00:00
0,Python Test | Germany,hays,DevSecOps Engineer 60% (m/w/d),Hays Client,Bern,On-site,Contract,Python,"Gitlab, Ansible",German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devsecops-engineer-60-bern-865769/1,2026-03-15T10:35:23.857118+00:00
0,Python Test | Germany,hays,Development Engineer Manufacturing Processes (m/f/d),Hays Client,Rotkreuz,On-site,Contract,,R,English,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-development-engineer-manufacturing-processes-rotkreuz-865639/1,2026-03-15T10:35:23.857623+00:00
0,Python Test | Germany,hays,Versicherungsmathematiker/in Leben (m/w/d),Hays Client,München,On-site,Contract,,R,German,,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versicherungsmathematiker-in-leben-muenchen-856545/1,2026-03-15T10:35:23.859172+00:00
0,Python Test | Germany,hays,System Ingenieur- Integration & Tests / Funkkommunikationssysteme / Rohde &Schwarz (m/w/d),Hays Client,Stuttgart,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-ingenieur--integration-tests-funkkommunikationssysteme-rohde--schwarz-stuttgart-860763/1,2026-03-15T10:35:23.859955+00:00
