relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Test Engineer | Poland,linkedin,Senior Manual Test Engineer,Intellias,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-test-engineer-at-intellias-4400208624,2026-04-13T11:21:22.411801+00:00
29,Tester | USA,linkedin,Software Test Engineer,Google,"Mountain View, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-test-engineer-at-google-4397291339,2026-04-13T11:20:41.567182+00:00
29,Tester | United Kingdom,linkedin,Software Tester,Intellect Group,"Oxfordshire, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-tester-at-intellect-group-4387440591,2026-04-13T11:20:43.977620+00:00
29,QA Engineer | United Kingdom,linkedin,QA Engineer,McKenzie Intelligence Services,"Greater London, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/qa-engineer-at-mckenzie-intelligence-services-4394603889,2026-04-13T11:21:05.456458+00:00
29,Python Developer | USA,linkedin,Backend Python Software Engineer,NVIDIA,"Durham, NC",On-site,Full-time,Python,,English,,,Recent,https://www.linkedin.com/jobs/view/backend-python-software-engineer-at-nvidia-4395491128,2026-04-13T11:22:30.892069+00:00
29,Firmware Engineer | Germany,linkedin,Embedded Software Engineer,NXP Semiconductors,"Hamburg, Hamburg, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/embedded-software-engineer-at-nxp-semiconductors-4393236614,2026-04-13T11:22:57.618824+00:00
29,Firmware Engineer | Austria,linkedin,Internship: Embedded Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Internship,,Internship,English,,,Recent,https://at.linkedin.com/jobs/view/internship-embedded-software-developer-m-f-d-at-nxp-semiconductors-4385349797,2026-04-13T11:23:00.011458+00:00
29,Firmware Engineer | Austria,linkedin,Software Engineer (w/m/d),Porsche Holding,"Salzburg, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/software-engineer-w-m-d-at-porsche-holding-4377874958,2026-04-13T11:23:00.011723+00:00
29,Firmware Engineer | United Kingdom,linkedin,"Software Engineer II, Embedded Systems/Firmware",Google,"London, England, United Kingdom",On-site,Full-time,"Embedded Systems, Firmware",,English,,,Recent,https://uk.linkedin.com/jobs/view/software-engineer-ii-embedded-systems-firmware-at-google-4395998260,2026-04-13T11:23:17.067340+00:00
14,Tester | Germany,linkedin,Senior Test Engineer  - SAP Payments,Serrala,"Hamburg, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-engineer-sap-payments-at-serrala-4381459715,2026-04-13T11:20:24.707198+00:00
14,Tester | Austria,linkedin,QA Software Test Engineer Code Review - Remote,YO IT Consulting,Austria,Remote,Contract,"C, C++, Can, Java, Javascript, Python",Contractor,English,Contractor,,Recent,https://at.linkedin.com/jobs/view/qa-software-test-engineer-code-review-remote-at-yo-it-consulting-4395429794,2026-04-13T11:20:27.137959+00:00
14,Tester | Austria,linkedin,Test Engineer (all genders),Lam Research,Greater Salzburg,Remote,Full-time,"C, C++, Python",Lead,English,Lead,,Recent,https://at.linkedin.com/jobs/view/test-engineer-all-genders-at-lam-research-4390983718,2026-04-13T11:20:27.138095+00:00
14,Tester | Austria,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Austria,On-site,Contract,"Can, Ci/Cd, Github Actions, Pytest, Python, Test Automation","Github, React, Expert, Docker, Senior",English,"Expert, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399249356,2026-04-13T11:20:27.138243+00:00
14,Tester | Austria,linkedin,Supplier Test Engineer (all genders),Lam Research,"Villach, Carinthia, Austria",Remote,Internship,"C, C++, Python",Lead,English,Lead,,Recent,https://at.linkedin.com/jobs/view/supplier-test-engineer-all-genders-at-lam-research-4377926919,2026-04-13T11:20:27.138640+00:00
14,Tester | Switzerland,linkedin,Test Engineer (AI),Sixsentix,"Zurich, Switzerland",On-site,Contract,"Can, Ci/Cd, Llm, Prompt Engineering, Pytest, Rag","Safe, Regression Testing, Postman, Expert, Mlops, Git, Consultant",English,"Consultant, Expert",,Recent,https://ch.linkedin.com/jobs/view/test-engineer-ai-at-sixsentix-4392275860,2026-04-13T11:20:29.517369+00:00
14,Tester | Switzerland,linkedin,Expert Test Engineer (Contract),adesso Schweiz AG,"Bern, Berne, Switzerland",On-site,Contract,,Expert,English,Expert,,Recent,https://ch.linkedin.com/jobs/view/expert-test-engineer-contract-at-adesso-schweiz-ag-4391078761,2026-04-13T11:20:29.518409+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Stuttgart, Baden-Württemberg, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399257148,2026-04-13T11:20:31.905504+00:00
14,Tester | Remote,linkedin,Senior Pega CDH Test Engineer,Coforge,Frankfurt Rhine-Main Metropolitan Area,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-pega-cdh-test-engineer-at-coforge-4389806639,2026-04-13T11:20:31.905642+00:00
