relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,IOT Test Manager (m/w/d),Hays Client,Hinwil,On-site,Contract,,,German,Test Manager,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-iot-test-manager-hinwil-865070/1,2026-03-17T10:55:47.790602+00:00
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-03-17T10:55:47.791438+00:00
14,Tester | Germany,hays,Testmanager eDrive gem. ISO 26262  (m/w/d),Hays Client,Affalterbach,On-site,Contract,,Iso 26262,German,Test Manager,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-edrive-gem-iso-26262--affalterbach-863460/1,2026-03-17T10:55:47.791955+00:00
14,Tester | Germany,hays,Senior Embedded Instrument Control Tester  (m/f/d),Hays Client,Rotkreuz,On-site,Contract,,Senior,English,Senior,,23.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-instrument-control-tester--rotkreuz-862979/1,2026-03-17T10:55:47.792258+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Senior, Microservices, Spring Boot, Kubernetes, Postgresql, Mongodb",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-03-17T10:56:16.853051+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"R, Senior",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-03-17T10:56:16.853609+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-03-17T10:56:42.005297+00:00
14,Test Engineer | Germany,hays,Senior Quality Engineer (m/w/d),Hays Client,Gießen,On-site,Contract,,Senior,German,Senior,,02.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-engineer-giessen-828402/1,2026-03-17T10:56:42.008400+00:00
14,Test Automation | Germany,hays,AI Security Red Team Lead (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,"Team Lead, R, Lead",German,Lead,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-security-red-team-lead-nordrhein-westfalen-862390/1,2026-03-17T10:57:29.739285+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Expert, Azure, Autosar, Iso 26262, Gitlab, Canoe, Devops, R, Gitlab Ci",German,Expert,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-03-17T10:57:29.742164+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Linux, Senior",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-03-17T10:57:29.743971+00:00
14,Python Developer | Germany,hays,Senior Web Application Developer (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,"Azure, R, Senior",German,Senior,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-web-application-developer-baden-wuerttemberg-864751/1,2026-03-17T10:57:55.959036+00:00
14,Python Developer | Germany,hays,Senior Data Warehouse Developer (Databricks) (m/f/d),Hays Client,Austria,On-site,Contract,"Ci/Cd, Github Actions, Python","Databricks, Senior, Sql, Github",English,Senior,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-data-warehouse-developer-databricks-austria-863468/1,2026-03-17T10:57:55.959553+00:00
14,Python Test | Germany,hays,GIS Integration Consultant (Only Nearshore & Offshore) (m/f/d),Hays Client,Remote,Remote,Contract,Python,Consultant,English,Consultant,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-gis-integration-consultant-only-nearshore-offshore-remote-866056/1,2026-03-17T10:58:20.641983+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,"R, Senior, Fastapi",German,Senior,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-865759/1,2026-03-17T10:58:20.643058+00:00
0,Tester | Germany,hays,Digital Business Solution Professional (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,,German,,,17.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-business-solution-professional-herzogenaurach-860968/1,2026-03-17T10:55:47.788639+00:00
0,Tester | Germany,hays,Elektroniker/Tester (m/w/d),Hays Client,Bayern,On-site,Contract,,,German,,,16.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektroniker-tester-bayern-866330/1,2026-03-17T10:55:47.788978+00:00
0,Tester | Germany,hays,Versuchsingenieur Gesamtfahrzeug (Exterieur) (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,,German,,,12.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versuchsingenieur-gesamtfahrzeug-exterieur-baden-wuerttemberg-865926/1,2026-03-17T10:55:47.789246+00:00
0,Tester | Germany,hays,BTV Getriebe eBike Systems  (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-btv-getriebe-ebike-systems--reutlingen-865651/1,2026-03-17T10:55:47.789550+00:00
0,Tester | Germany,hays,Bauteilverantwortlicher (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauteilverantwortlicher-reutlingen-865633/1,2026-03-17T10:55:47.789817+00:00
0,Tester | Germany,hays,Testspezialist (m/w/d),Hays Client,Berlin,On-site,Contract,Java,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testspezialist-berlin-865551/1,2026-03-17T10:55:47.790070+00:00
0,Tester | Germany,hays,Hardware-Tester (m/w/d),Hays Client,Bayern,On-site,Contract,,,German,,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-tester-bayern-865426/1,2026-03-17T10:55:47.790327+00:00
0,Tester | Germany,hays,Supplier Quality Management (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-quality-management-schleswig-holstein-864038/1,2026-03-17T10:55:47.790913+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Kassel,On-site,Contract,,,German,,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-864835/1,2026-03-17T10:55:47.791176+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Sil",Mil,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-wolfsburg-841316/1,2026-03-17T10:55:47.791707+00:00
0,QA Engineer | Germany,hays,Qualitätssicherer / QS / Qualitätssicherung (m/w/d),Hays Client,Hochtaunuskreis,On-site,Contract,,,German,,,19.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetssicherer-qs-qualitaetssicherung-hochtaunuskreis-862506/1,2026-03-17T10:56:16.852489+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Git, Docker, Intern, Spring Boot, Angular, Devops",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-03-17T10:56:16.852780+00:00
0,QA Engineer | Germany,hays,Chief Chemical Engineer / Manager (m/f/d),Hays Client,Denmark,On-site,Contract,,,English,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-chief-chemical-engineer-manager-denmark-855248/1,2026-03-17T10:56:16.853329+00:00
0,Test Engineer | Germany,hays,Auxiliary Engineer (m/w/d),Hays Client,Görlitz,On-site,Contract,,R,German,,,16.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-auxiliary-engineer-goerlitz-866258/1,2026-03-17T10:56:42.003649+00:00
0,Test Engineer | Germany,hays,KI - Engineer / AI - Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,"Python, Rag",R,German,,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ki-engineer-ai-engineer-frankfurt-am-main-866190/1,2026-03-17T10:56:42.003937+00:00
0,Test Engineer | Germany,hays,B&R Automation Engineer (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-b-r-automation-engineer-baden-wuerttemberg-862947/1,2026-03-17T10:56:42.004197+00:00
0,Test Engineer | Germany,hays,Automation Engineer (m/w/d),Hays Client,Sachsen-Anhalt,On-site,Contract,,,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automation-engineer-sachsen-anhalt-865390/1,2026-03-17T10:56:42.004489+00:00
0,Test Engineer | Germany,hays,Resident Engineer Automotive (m/w/d),Hays Client,München,Remote,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-resident-engineer-automotive-muenchen-863816/1,2026-03-17T10:56:42.004782+00:00
0,Test Engineer | Germany,hays,AI-Governance Engineer (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,04.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-governance-engineer-duesseldorf-844512/1,2026-03-17T10:56:42.005041+00:00
0,Test Engineer | Germany,hays,Trim-Engineer (m/w/d),Hays Client,Stuttgart,On-site,Contract,,Intern,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-trim-engineer-stuttgart-864178/1,2026-03-17T10:56:42.005574+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-850318/1,2026-03-17T10:56:42.005828+00:00
0,Test Engineer | Germany,hays,SOC Engineer  (m/w/d),Hays Client,Essen,On-site,Contract,,"Linux, R, Soc",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-soc-engineer--essen-863817/1,2026-03-17T10:56:42.006091+00:00
0,Test Engineer | Germany,hays,IT Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Kubernetes, Ansible",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-frankfurt-am-main-854031/1,2026-03-17T10:56:42.006342+00:00
0,Test Engineer | Germany,hays,Network & Security Engineer  (m/w/d),Hays Client,Remote,Remote,Contract,,,German,,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-network-security-engineer--remote-863410/1,2026-03-17T10:56:42.006611+00:00
0,Test Engineer | Germany,hays,Embedded Software Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-engineer-muenchen-862756/1,2026-03-17T10:56:42.006859+00:00
0,Test Engineer | Germany,hays,Power Electronics Hardware Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-power-electronics-hardware-engineer-muenchen-862757/1,2026-03-17T10:56:42.007113+00:00
0,Test Engineer | Germany,hays,Test Engineer Bremssysteme (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,24.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-bremssysteme-erlangen-863233/1,2026-03-17T10:56:42.007362+00:00
0,Test Engineer | Germany,hays,SAP Basis Engineer - Schwerpunkt Berechtigung (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sap-basis-engineer-schwerpunkt-berechtigung-berlin-849198/1,2026-03-17T10:56:42.007632+00:00
0,Test Engineer | Germany,hays,Software Engineer (Fokus: Input Management) (m/w/d),Hays Client,"Nürnberg, Hamburg oder Köln",On-site,Contract,C,C#,German,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-fokus--input-management-nuernberg-hamburg-oder-koeln-859399/1,2026-03-17T10:56:42.007884+00:00
0,Test Engineer | Germany,hays,Application Engineer (m/w/d),Hays Client,Bundesweit,On-site,Contract,,,German,,,23.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-application-engineer-bundesweit-853495/1,2026-03-17T10:56:42.008145+00:00
0,Test Engineer | Germany,hays,Hardware Engineer (m/w/d),Hays Client,Lippstadt,On-site,Contract,,R,German,,,25.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-engineer-lippstadt-827402/1,2026-03-17T10:56:42.008700+00:00
0,Testingenieur | Germany,hays,Testingenieur - Inbetriebnehmer  (m/w/d),Hays Client,Guxhagen,On-site,Contract,,"Project Manager, R",German,,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-inbetriebnehmer--guxhagen-864290/1,2026-03-17T10:57:06.991826+00:00
0,Testingenieur | Germany,hays,Prüfer Elektrotechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,,German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pruefer-elektrotechnik-frankfurt-am-main-858287/1,2026-03-17T10:57:06.992107+00:00
0,Test Automation | Germany,hays,Softwareentwickler für Maschinensteuerungen (m/w/d),Hays Client,Chemnitz,On-site,Contract,,R,German,,,16.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-fuer-maschinensteuerungen-chemnitz-861923/1,2026-03-17T10:57:29.739007+00:00
0,Test Automation | Germany,hays,Always On - Administrator (m/w/d),Hays Client,Remote/Wiesbaden,Remote,Contract,,"Powershell, R",German,,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-always-on-administrator-remote-wiesbaden-864649/1,2026-03-17T10:57:29.739599+00:00
0,Test Automation | Germany,hays,GitHub Enterprise Spezialist (m/w/d),Hays Client,Hannover,On-site,Contract,"Ci/Cd, Github Actions, Java, Python","Kubernetes, R, Github",German,,,12.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-github-enterprise-spezialist-hannover-840643/1,2026-03-17T10:57:29.739857+00:00
0,Test Automation | Germany,hays,Steuerberater (m/w/d),Hays Client,Helmstedt,On-site,Contract,,,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-steuerberater-helmstedt-865767/1,2026-03-17T10:57:29.740115+00:00
