relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,C,"Senior, C#",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-07-30T12:58:11.819651+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Scrum, R, Expert, Kanban, Testng, Junit",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-07-30T12:58:11.822990+00:00
14,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Kassel Deut­sch­land,Hybrid,Full-time,"C, Java, Python","Expert, R, Jira, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/472864/systemtester,2026-07-30T12:58:11.824613+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Scrum, R, Expert, Kanban, Cucumber",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-07-30T12:58:21.670130+00:00
14,Test Engineer | Germany,ferchau,Software Integration & Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,Embedded Systems,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/509590/software-integration-test-engineer,2026-07-30T12:58:31.146971+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-07-30T12:58:41.416911+00:00
14,Testingenieur | Germany,ferchau,Versuchs- und Testingenieur (m/w/d),FERCHAU,Heil­bronn Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485278/versuchs-und-testingenieur,2026-07-30T12:58:41.420264+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektrotechnik & Prüfsysteme (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/466510/testingenieur-elektrotechnik-pruefsysteme,2026-07-30T12:58:41.420741+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,Senior,German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-07-30T12:58:52.033091+00:00
14,Test Automation | Germany,ferchau,Senior Test Automation Engineer (m/w/d),FERCHAU,Wuppertal Deut­sch­land,Vor Ort,Full-time,Test Automation,Senior,English,Senior,,Recent,https://touch.ferchau.com/de/de/job/512713/senior-test-automation-engineer,2026-07-30T12:58:52.035816+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","R, Expert, Angular",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-07-30T12:59:02.118772+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Sql, R, Expert, Junior, Nosql, Linux",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-07-30T12:59:02.119363+00:00
14,Python Developer | Germany,ferchau,Senior Python Backend Developer bei Siemens (m/w/d),FERCHAU,Erlangen Deut­sch­land,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://touch.ferchau.com/de/de/job/514123/senior-python-backend-developer-bei-siemens,2026-07-30T12:59:02.122689+00:00
14,Firmware Engineer | Germany,ferchau,Systemarchitekt Leistungselektronik (m/w/d),FERCHAU,Detmold Deut­sch­land,Hybrid,Full-time,,System Architect,English,System Architect,,Recent,https://touch.ferchau.com/de/de/job/513073/systemarchitekt-leistungselektronik,2026-07-30T12:59:23.284016+00:00
14,Firmware Engineer | Germany,ferchau,Senior Softwareingenieur FPGA / VHDL (m/w/d),FERCHAU,Ulm Deut­sch­land,Remote,Full-time,,"Fpga, Senior, Vhdl",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/488167/senior-softwareingenieur-fpga-vhdl,2026-07-30T12:59:23.287706+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,"C, Java, Python","Sql, R, Scrum, Azure, Devops, Jira, Kanban, C#",German,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-07-30T12:58:11.820261+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-07-30T12:58:11.820745+00:00
0,Tester | Germany,ferchau,Softwaretester / Software Testingenieur (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/497092/softwaretester-software-testingenieur,2026-07-30T12:58:11.821378+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-07-30T12:58:11.821902+00:00
0,Tester | Germany,ferchau,Testanalyst Informatik (m/w/d),FERCHAU,Ober­ko­chen Deut­sch­land,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/514372/testanalyst-informatik,2026-07-30T12:58:11.822472+00:00
0,Tester | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/485209/testingenieur,2026-07-30T12:58:11.825171+00:00
0,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-07-30T12:58:11.825620+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer - Shipbuilding (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,Can,,English,,,Recent,https://touch.ferchau.com/de/de/job/482239/hull-structural-designer-shipbuilding,2026-07-30T12:58:21.682992+00:00
0,QA Engineer | Germany,ferchau,Quality Engineer (m/w/d),FERCHAU,Frank­furt Deut­sch­land,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/513796/quality-engineer,2026-07-30T12:58:21.683664+00:00
