relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Senior Business Test Consultant - Lebensversicherung / E2E (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://www.xing.com/jobs/montabaur-senior-business-test-consultant-lebensversicherung-e2e-151945000,2026-04-06T11:45:38.772093+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/berlin-senior-qa-engineer-152939063,2026-04-06T11:47:25.385111+00:00
14,QA Engineer | Germany,xing,Lead QA Engineer (f/m/x) – Operations and Client Services,XING Employer,Germany/Remote,Remote,Full-time,,Lead,English,Lead,,Recent,https://www.xing.com/jobs/berlin-lead-qa-engineer-operations-client-services-150732060,2026-04-06T11:47:25.385275+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer (m/f/d) – Safeguard Digital Products that #MoveTheDate,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/koeln-senior-qa-engineer-safeguard-digital-products-movethedate-144026218,2026-04-06T11:47:25.385450+00:00
14,Test Automation | Germany,xing,Senior Testmanager:in (m/w/d) Testautomatisierung & Software Qualitätssicherung,XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,"Senior, Test Manager",,Recent,https://www.xing.com/jobs/ruesselsheim-main-senior-testmanager-testautomatisierung-software-qualitaetssicherung-151696614,2026-04-06T11:51:10.480476+00:00
14,Test Automation | Germany,xing,Senior Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/braunschweig-senior-test-automation-engineer-152565675,2026-04-06T11:51:10.480535+00:00
14,Test Automation | Switzerland,xing,Senior Test Automation Engineer – MedTech / Pharma (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/muenchen-senior-test-automation-engineer-medtech-pharma-151576664,2026-04-06T11:51:38.811084+00:00
14,Python Developer | Germany,xing,Softwareentwickler Senior Backend / Python (m/w/d)​​,XING Employer,Germany/Remote,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://www.xing.com/jobs/schweinfurt-softwareentwickler-senior-backend-python-151597612,2026-04-06T11:52:07.527910+00:00
14,Python Developer | Switzerland,xing,Senior Python Developer/ Data Scientist (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://www.xing.com/jobs/berlin-senior-python-developer-data-scientist-152952833,2026-04-06T11:52:36.404428+00:00
0,Tester | Germany,xing,Softwaretester (m/w/d) für manuelle Tests,XING Employer,Germany/Remote,Remote,Full-time,,R,English,,,Recent,https://www.xing.com/jobs/frankfurt-softwaretester-manuelle-tests-152545087,2026-04-06T11:45:38.771983+00:00
0,Tester | Germany,xing,Prüftechniker Elektrotechnik - Normen / Tests / Doku (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/halver-prueftechniker-elektrotechnik-normen-tests-doku-152340906,2026-04-06T11:45:38.772197+00:00
0,Tester | Germany,xing,"Projekt Future VCS Teilprojektleiter ""Test und Transition"" (d/m/w)",XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/langen-projekt-future-vcs-teilprojektleiter-test-transition-152140049,2026-04-06T11:45:38.772273+00:00
0,Tester | Germany,xing,End of Line-Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/lindau-end-of-line-tester-152505614,2026-04-06T11:45:38.772346+00:00
0,Tester | Germany,xing,Tester für Software- und Systemtests (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,R,German,,,Recent,https://www.xing.com/jobs/hamburg-tester-software-systemtests-152707044,2026-04-06T11:45:38.772414+00:00
0,Tester | Germany,xing,INTERIM Tester IAM/ IDM (gn),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/duesseldorf-interim-tester-iam-idm-gn-152485587,2026-04-06T11:45:38.772484+00:00
0,Tester | Germany,xing,Software Tester (all genders),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/sankt-ingbert-software-tester-all-genders-148460968,2026-04-06T11:45:38.772548+00:00
0,Tester | Germany,xing,Software Tester Fokus Testautomatisierung remote (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/berlin-software-tester-fokus-testautomatisierung-remote-152651779,2026-04-06T11:45:38.772616+00:00
0,Tester | Germany,xing,Software Tester / Test Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/muenchen-software-tester-test-engineer-152851776,2026-04-06T11:45:38.772679+00:00
