relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Fachlicher Testmanager (m/w/d) für unsere Abteilung Produktdesign und IT-Partnermanagement,XING Employer,Germany/Remote,Remote,Full-time,,R,German,Test Manager,,Recent,https://www.xing.com/jobs/muenchen-fachlicher-testmanager-abteilung-produktdesign-it-partnermanagement-157180310,2026-08-27T20:48:24.594587+00:00
14,Tester | Germany,xing,Embedded Software Test Engineer und Test Manager m/w/d,XING Employer,Germany/Remote,Remote,Full-time,,,German,Test Manager,,Recent,https://www.xing.com/jobs/aschheim-embedded-software-test-engineer-test-manager-156306066,2026-08-27T20:48:24.594709+00:00
14,QA Engineer | Germany,xing,Support Consultant (m/w/d) CS/QA,XING Employer,Germany/Remote,Remote,Full-time,,Consultant,English,Consultant,,Recent,https://www.xing.com/jobs/bautzen-support-consultant-cs-qa-156223384,2026-08-27T20:49:23.736807+00:00
14,Test Automation | Germany,xing,Testautomation Expert (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,Expert,English,Expert,,Recent,https://www.xing.com/jobs/hamburg-testautomation-expert-157471321,2026-08-27T20:52:13.271366+00:00
14,Python Developer | Germany,xing,Python Development Expert (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,Expert,English,Expert,,Recent,https://www.xing.com/jobs/muenchen-python-development-expert-157469012,2026-08-27T20:53:11.355890+00:00
14,Python Developer | Germany,xing,Python Development Expert for CI Tools (m/w/x),XING Employer,Germany/Remote,Remote,Full-time,Python,Expert,English,Expert,,Recent,https://www.xing.com/jobs/muenchen-python-development-expert-for-ci-tools-157368156,2026-08-27T20:53:11.355982+00:00
14,Firmware Engineer | Germany,xing,Senior Embedded Software Developer,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/hamburg-senior-embedded-software-developer-156968349,2026-08-27T20:55:03.680726+00:00
0,Tester | Germany,xing,Test Engineer Videosicherheitssoftware (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/muenchen-test-engineer-videosicherheitssoftware-157492330,2026-08-27T20:48:24.594409+00:00
0,Tester | Germany,xing,Android Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/hamburg-mannheim-mobile-test-automation-engineer-157280612,2026-08-27T20:48:24.594520+00:00
0,Tester | Germany,xing,Software Development Engineer in Test (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/karlsruhe-software-development-engineer-test-157297722,2026-08-27T20:48:24.594655+00:00
0,Tester | Germany,xing,Tester,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/hannover-tester-157318048,2026-08-27T20:48:24.594758+00:00
0,Tester | Germany,xing,Software Tester / QA Engineer (all genders),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/schoeneck-software-tester-qa-engineer-all-genders-157010504,2026-08-27T20:48:24.594804+00:00
0,Tester | Germany,xing,IT Tester / QA Specialist (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/oelde-tester-qa-specialist-157466203,2026-08-27T20:48:24.594851+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/w/d) Web & Mobile,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/wiesbaden-qa-engineer-web-mobile-154261136,2026-08-27T20:49:23.736949+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/w/d) Web & Mobile,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/wiesbaden-qa-engineer-web-mobile-156987175,2026-08-27T20:49:23.737014+00:00
0,QA Engineer | Germany,xing,Software Engineer - QA (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/bern-software-engineer-qa-157235865,2026-08-27T20:49:23.737070+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-qa-engineer-156389178,2026-08-27T20:49:23.737122+00:00
0,QA Engineer | Germany,xing,Quality Assurance Engineer (m/w/d) - remote DE,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/halle-saale-quality-assurance-engineer-remote-de-155999936,2026-08-27T20:49:23.737215+00:00
0,Test Engineer | Germany,xing,Test Engineer (m/w/x),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/wien-test-engineer-157240409,2026-08-27T20:50:20.485428+00:00
0,Test Engineer | Germany,xing,SOFTWARE TEST ENGINEER (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/salzburg-software-test-engineer-155504508,2026-08-27T20:50:20.485477+00:00
0,Test Engineer | Germany,xing,Software Engineer Test (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/aschheim-software-engineer-test-157492129,2026-08-27T20:50:20.485567+00:00
0,Test Engineer | Germany,xing,B103-C01 Test Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/goeppingen-b103-c01-test-engineer-156903667,2026-08-27T20:50:20.485611+00:00
0,Test Engineer | Germany,xing,Testingenieur (m/w/d) – Initiativbewerbung,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/nuernberg-testingenieur-initiativbewerbung-153714490,2026-08-27T20:50:20.485668+00:00
0,Testingenieur | Germany,xing,Entwicklungs- und Testingenieur (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/lueneburg-entwicklungs-testingenieur-156559243,2026-08-27T20:51:16.704669+00:00
0,Testingenieur | Germany,xing,Testingenieur*in Elektromechanik / Hardware Test Engineer,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/duesseldorf-testingenieur-elektromechanik-hardware-test-engineer-151516155,2026-08-27T20:51:16.704958+00:00
