relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior AutomotiveTesting Engineer(m/f/d),GULP Client,"Location: International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4bb91f182dad11f189e08e417b6a1e17,2026-04-06T11:35:54.060356+00:00
14,Tester | Germany,gulp,Software Test Expert for Battery Modules / Battery Storage Systems (m/f/d),GULP Client,"Location: D3, 20% Remote",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/2bc1af5627a711f189e08e417b6a1e17,2026-04-06T11:35:54.062785+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-04-06T11:35:54.065380+00:00
14,QA Engineer | Germany,gulp,Senior Data Scientist (m/f/d),GULP Client,Location: Duisburg,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262732,2026-04-06T11:36:44.218959+00:00
14,QA Engineer | Germany,gulp,Test manager (m/f/d) legacy backend systems,GULP Client,Location: Darmstadt,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262789,2026-04-06T11:36:44.220464+00:00
14,QA Engineer | Germany,gulp,IT Expert Process Mining & ARIS PPM Architecture (m/f/d),GULP Client,"Location: Essen, Ruhr",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262648,2026-04-06T11:36:44.220939+00:00
14,QA Engineer | Germany,gulp,Senior Mechanical DesignEngineer(m/f/d),GULP Client,"Location: D5, D5/ remote",Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0e2853362dcf11f189e08e417b6a1e17,2026-04-06T11:36:44.225210+00:00
14,Test Automation | Germany,gulp,FPGA Expert (m/f/d),GULP Client,"Location: D0, überwiegend Remote",Remote,Freelance,,"Expert, Fpga",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e87c9ae82de711f189e08e417b6a1e17,2026-04-06T11:39:16.632502+00:00
14,Test Automation | Germany,gulp,Cloud Solution Architect (AWS & DevOps) (m/f/d),GULP Client,Location: Frankfurt am Main,On-site,Freelance,,"Solution Architect, Devops, Aws, Architect",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01261725,2026-04-06T11:39:16.635578+00:00
14,Test Automation | Germany,gulp,Application Architect (m/f/d),GULP Client,Location: Würzburg/Remote,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9c1dfc6c2bdc11f189e08e417b6a1e17,2026-04-06T11:39:16.636136+00:00
14,Test Automation | Germany,gulp,Test Manager Dynamics 365 CRM Sales (m/f/d),GULP Client,"Location: Remote, D2",Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/cb1e12e8275b11f189e08e417b6a1e17,2026-04-06T11:39:16.638182+00:00
14,Test Automation | Germany,gulp,Senior UiPath Consultant (m/f/d) -Test Automation,GULP Client,Location: Dresden,Remote,Freelance,Test Automation,"Senior, Consultant",English,"Consultant, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256858,2026-04-06T11:39:16.638638+00:00
14,Test Automation | Germany,gulp,Kubernetes Expert (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,"Expert, Kubernetes",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256739,2026-04-06T11:39:16.639114+00:00
14,Python Developer | Germany,gulp,Senior Solution Architect (m/f/d),GULP Client,Location: Wien,Remote,Freelance,,"Solution Architect, Senior, Architect",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69cf80615b755535eacd32e3,2026-04-06T11:40:06.982868+00:00
14,Python Developer | Germany,gulp,Oracle Consultant for WMS - Mostly remote possible.,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Oracle, Consultant",English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262538,2026-04-06T11:40:06.986914+00:00
14,Python Developer | Germany,gulp,SAP GTS Consultant (m/f/d),GULP Client,Location: PLZ 35xxx + remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69ce294e5b755535eacce9a8,2026-04-06T11:40:06.988435+00:00
14,Python Test | Germany,gulp,"SAP SD Consultant (m/f/d) specializing in the integration of Self Billing Service, 100% remote",GULP Client,Location: Duisburg,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262485,2026-04-06T11:40:57.100479+00:00
0,Tester | Germany,gulp,4404 Java Developer (m/f/d),GULP Client,Location: Frankfurt am Main & Remote,Remote,Freelance,Java,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/c276aec62cf011f189e08e417b6a1e17,2026-04-06T11:35:54.061034+00:00
0,Tester | Germany,gulp,Java Test Engineer (m/f/d),GULP Client,Germany,Remote,Freelance,"Ci/Cd, Java","Gitlab Ci, Linux, Gitlab",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f2fd9cb2294911f189e08e417b6a1e17,2026-04-06T11:35:54.061631+00:00
0,Tester | Germany,gulp,QA Engineer /Tester/ Test Automation Engineer (m/f/d),GULP Client,Location: Remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1ddadad6293a11f189e08e417b6a1e17,2026-04-06T11:35:54.062219+00:00
0,Tester | Germany,gulp,Test Engineer(m/f/d),GULP Client,Location: Ratisbon,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1efe9fea278e11f189e08e417b6a1e17,2026-04-06T11:35:54.063248+00:00
0,Tester | Germany,gulp,Construction manager according to Hamburg Building Code (HBauO) (m/f/d),GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/17a8ccae276411f189e08e417b6a1e17,2026-04-06T11:35:54.063698+00:00
0,Tester | Germany,gulp,Integrationtester(m/f/d),GULP Client,Location: Bonn,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255245,2026-04-06T11:35:54.064175+00:00
0,Tester | Germany,gulp,Softwaretesterspecializing in automation (ISTQB),GULP Client,Location: Lemwerder,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255150,2026-04-06T11:35:54.064630+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d) Verification & Validation,GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-04-06T11:35:54.065021+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-04-06T11:35:54.065856+00:00
0,QA Engineer | Germany,gulp,MechanicalEngineer(m/f/d),GULP Client,Location: Stollberg/Erzgebirge,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01257167,2026-04-06T11:36:44.218440+00:00
0,QA Engineer | Germany,gulp,Project Manager (m/f/d) with experience in human genetics,GULP Client,Location: remote,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69ce633605864ab5b2ee9a8c,2026-04-06T11:36:44.219528+00:00
0,QA Engineer | Germany,gulp,"DataEngineer(m/f/d), 100% remote",GULP Client,"Location: Ingolstadt, Donau",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262775,2026-04-06T11:36:44.220013+00:00
0,QA Engineer | Germany,gulp,IAM & Platform SecurityEngineer(m/f/d) Terraform Know-How Remote at least 2 days/week,GULP Client,Location: Dortmund,Remote,Freelance,,Terraform,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69ce4b6e05864ab5b2ee899c,2026-04-06T11:36:44.221489+00:00
0,QA Engineer | Germany,gulp,HSE Manager (m/f/d),GULP Client,"Location: D7, Raum Schwäbisch Hall",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d76741e22def11f189e08e417b6a1e17,2026-04-06T11:36:44.221976+00:00
0,QA Engineer | Germany,gulp,Construction supervision for cable pulling and joint assembly (m/f/d),GULP Client,Location: siehe Beschreibung,On-site,Freelance,,Assembly,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4fe0a6422ddf11f189e08e417b6a1e17,2026-04-06T11:36:44.222434+00:00
0,QA Engineer | Germany,gulp,Project management for transport infrastructure (m/f/d),GULP Client,"Location: Remote, Duisburg",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/055ad5322dd711f189e08e417b6a1e17,2026-04-06T11:36:44.223033+00:00
0,QA Engineer | Germany,gulp,ProjectEngineer- Building Permit Preparation for Solar Parks (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0adf1d382dd711f189e08e417b6a1e17,2026-04-06T11:36:44.223584+00:00
0,QA Engineer | Germany,gulp,HVAC Planner Revit (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0b79d6142dcf11f189e08e417b6a1e17,2026-04-06T11:36:44.224152+00:00
0,QA Engineer | Germany,gulp,Construction supervisor for civilengineeringprojects involving electricity and water network infrastructure (m/f/d),GULP Client,Location: D5,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1507270e2dcf11f189e08e417b6a1e17,2026-04-06T11:36:44.224623+00:00
0,QA Engineer | Germany,gulp,remote: DevOpsEngineerf/m/d POS72320 Python Angular Terraform GitLab Spring Boot,GULP Client,Location: remote,Remote,Freelance,Python,"Terraform, Angular, Spring Boot, Gitlab",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69cd181c5b755535eacca792,2026-04-06T11:36:44.225795+00:00
0,Test Automation | Germany,gulp,Test Analyst & Automation Engineer (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4d2918082dad11f189e08e417b6a1e17,2026-04-06T11:39:16.633116+00:00
0,Test Automation | Germany,gulp,ConsultantTest AutomationHR Systems (SuccessFactors and SAP HCM) (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/38e68f462d2711f189e08e417b6a1e17,2026-04-06T11:39:16.633696+00:00
0,Test Automation | Germany,gulp,"Solution ArchitectTest Automation(TOSCA, SuccessFactors, SAP HCM) (m/f/d)",GULP Client,Location: Herzogenaurach,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01261794,2026-04-06T11:39:16.634745+00:00
0,Test Automation | Germany,gulp,"Data Platform Engineer (AWS, IaC CDK & GitLab CI/CD) (m/f/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Ci/Cd,"Aws, Gitlab Ci, Gitlab",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01261757,2026-04-06T11:39:16.635222+00:00
