relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,C,"Senior, C#",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-06-08T15:09:56.860165+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-06-08T15:09:56.860897+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Remote,Full-time,,"R, Expert, Matlab",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485380/softwaretester,2026-06-08T15:09:56.864027+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Biele­feld Deut­sch­land,Remote,Full-time,"C, C++, Embedded Linux, Python","R, Linux, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/186741/softwaretester,2026-06-08T15:09:56.864813+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d) Testautomatisierung für die Siemens AG,FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Test Automation","R, C#, Expert, Senior",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/445087/senior-softwaretester-testautomatisierung-fuer-die-siemens-ag,2026-06-08T15:09:56.865670+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-06-08T15:10:24.656832+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Kemnath Deut­sch­land,Vor Ort,Full-time,"C, Can, Python","R, C#, Expert, Matlab",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/504913/testingenieur,2026-06-08T15:10:24.657713+00:00
14,Test Automation | Germany,ferchau,Testmanager für Automationssysteme (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Vor Ort,Full-time,,"R, Jira",German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/499546/testmanager-fuer-automationssysteme,2026-06-08T15:10:35.014486+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,Senior,German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-06-08T15:10:35.016262+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Linux, R, Nosql, Sql, Expert, Junior",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-06-08T15:10:43.905634+00:00
14,Python Developer | Germany,ferchau,Softwareentwickler / Anwendungsentwickler (m/w/d),FERCHAU,Leipzig Deut­sch­land,Remote,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Kanban, C#, Mysql, Docker, Php, Oracle, Aws, Azure, Sql, Scrum",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/484657/softwareentwickler-anwendungsentwickler,2026-06-08T15:10:43.909023+00:00
14,Python Test | Germany,ferchau,IoT Test and Evaluation Engineer (m/w/d),FERCHAU,Kaufe­ring Deut­sch­land,Remote,Full-time,"C, Pytest, Python","R, Expert, Jira",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/504307/iot-test-and-evaluation-engineer,2026-06-08T15:10:54.314538+00:00
