relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Fachlicher Testmanager (m/w/d) für unsere Abteilung Produktdesign und IT-Partnermanagement,XING Employer,Germany/Remote,Remote,Full-time,,R,German,Test Manager,,Recent,https://www.xing.com/jobs/muenchen-fachlicher-testmanager-abteilung-produktdesign-it-partnermanagement-157180310,2026-09-24T15:32:04.040657+00:00
14,Tester | Germany,xing,(Senior) IT Consultant/ Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,"Senior, Consultant",English,"Consultant, Senior",,Recent,https://www.xing.com/jobs/weinheim-senior-consultant-tester-158040700,2026-09-24T15:32:04.040800+00:00
14,Tester | Germany,xing,IT-Testmanager – SAP (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,Test Manager,,Recent,https://www.xing.com/jobs/koeln-it-testmanager-sap-157820138,2026-09-24T15:32:04.041099+00:00
14,QA Engineer | Germany,xing,(Senior) QA Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/hamburg-senior-qa-engineer-157976635,2026-09-24T15:33:01.489441+00:00
14,QA Engineer | Remote,xing,SAP Data Quality Consultant (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Consultant,English,Consultant,,Recent,https://www.xing.com/jobs/remote-sap-data-quality-consultant-157904825,2026-09-24T15:33:43.486174+00:00
14,Test Automation | Germany,xing,Testautomation Expert (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,Expert,English,Expert,,Recent,https://www.xing.com/jobs/hamburg-testautomation-expert-157134084,2026-09-24T15:35:51.629701+00:00
14,Python Developer | Germany,xing,Python Development Expert for CI Tools (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,Expert,English,Expert,,Recent,https://www.xing.com/jobs/muenchen-python-development-expert-for-ci-tools-157506947,2026-09-24T15:36:48.026172+00:00
14,Python Developer | Germany,xing,Python Development Expert (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,Expert,English,Expert,,Recent,https://www.xing.com/jobs/muenchen-python-development-expert-157469012,2026-09-24T15:36:48.026230+00:00
14,Python Developer | Germany,xing,Python Development Expert for CI Tools (m/w/x),XING Employer,Germany/Remote,Remote,Full-time,Python,Expert,English,Expert,,Recent,https://www.xing.com/jobs/muenchen-python-development-expert-for-ci-tools-157368156,2026-09-24T15:36:48.026347+00:00
14,Firmware Engineer | Germany,xing,Senior Embedded Software Developer,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/hamburg-senior-embedded-software-developer-156968349,2026-09-24T15:38:40.892583+00:00
14,Firmware Engineer | Germany,xing,Embedded Firmware Engineer (m/w/d),ROCKEN,Emmen,Hybrid,Full-time,"C, Firmware","Freertos, Senior, R",German,Senior,,Recent,https://www.xing.com/jobs/emmen-embedded-firmware-engineer-157625471,2026-09-24T15:38:40.892725+00:00
