relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-07-06T13:57:24.286052+00:00
14,Tester | Germany,hays,Fullstack Java Developer (m/w/d),Hays Client,Köln,On-site,Contract,Java,"Scrum, R, Angular, Expert",German,Expert,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-java-developer-koeln-881803/1,2026-07-06T13:57:24.287044+00:00
14,Tester | Germany,hays,Test Manager (m/w/d),Hays Client,München,On-site,Contract,,,German,Test Manager,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-manager-muenchen-879159/1,2026-07-06T13:57:24.287940+00:00
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-07-06T13:57:24.288623+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Jira, Expert",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-07-06T13:57:24.288846+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-07-06T13:57:48.205215+00:00
14,QA Engineer | Germany,hays,Senior QA Experte für Medientechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Expert, R, Senior",German,"Expert, Senior",,19.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-experte-fuer-medientechnik-frankfurt-am-main-881056/1,2026-07-06T13:57:48.205478+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-07-06T13:57:48.206430+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"R, Lead, Associate",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-07-06T13:57:48.206652+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"Lead, R",German,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-07-06T13:57:48.206885+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Mongodb, Spring Boot, Postgresql, Kubernetes, Microservices, Senior",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-07-06T13:57:48.208040+00:00
14,Test Engineer | Germany,hays,Senior Cyber Security Engineer (m/w/d),Hays Client,Frankfurt,On-site,Contract,,Senior,German,Senior,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cyber-security-engineer-frankfurt-877659/1,2026-07-06T13:58:11.908068+00:00
14,Test Engineer | Germany,hays,System Engineer / System Architect – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,"Architect, System Architect",German,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-07-06T13:58:11.908993+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"R, Senior",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-07-06T13:58:11.909446+00:00
14,Test Engineer | Germany,hays,Senior Supplier Quality Engineer (m/w/d),Hays Client,Dresden,Remote,Contract,,"R, Senior",German,Senior,,26.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-supplier-quality-engineer-dresden-878527/1,2026-07-06T13:58:11.910811+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-07-06T13:58:36.840443+00:00
14,Test Automation | Germany,hays,Senior Accountant (m/w/d),Hays Client,Jüchen,On-site,Contract,,"R, Senior",German,Senior,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-accountant-juechen-884047/1,2026-07-06T13:58:59.822510+00:00
14,Test Automation | Germany,hays,Senior HR Analytics Consultant (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,"Consultant, R, Senior",German,"Consultant, Senior",,29.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hr-analytics-consultant-herzogenaurach-883356/1,2026-07-06T13:58:59.823478+00:00
14,Test Automation | Germany,hays,Bauleiter Elektro (Schiffbau) (m/w/d),Hays Client,Norddeutschland,On-site,Contract,,"Freelancer, R",German,Freelancer,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauleiter-elektro-schiffbau-norddeutschland-883209/1,2026-07-06T13:58:59.823697+00:00
14,Test Automation | Germany,hays,DevOps / CI/CD & Testarchitektur Consultant (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,"Ci/Cd, Jenkins, Test Automation","Consultant, Gitlab, Gitlab Ci, Devops",German,Consultant,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-ci-cd-testarchitektur-consultant-nordrhein-westfalen-882094/1,2026-07-06T13:58:59.824388+00:00
14,Test Automation | Germany,hays,Senior IT Projektmanager Labvantage (m/w/d),Hays Client,Ulm,On-site,Contract,,Senior,German,Senior,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-it-projektmanager-labvantage-ulm-879923/1,2026-07-06T13:58:59.824837+00:00
14,Test Automation | Germany,hays,Projektmanager Technik / Pentester  (m/w/d),Hays Client,München,On-site,Contract,,"Expert, R",German,Expert,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektmanager-technik-pentester--muenchen-877325/1,2026-07-06T13:58:59.825526+00:00
14,Test Automation | Germany,hays,Cybersecurity Auditor / Consultant (m/w/d),Hays Client,München,On-site,Contract,,"Consultant, R",German,Consultant,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cybersecurity-auditor-consultant-muenchen-877327/1,2026-07-06T13:58:59.825758+00:00
14,Test Automation | Austria,hays,Senior Prozessingenieur (m/w/d),Hays Client,München,On-site,Contract,,"R, Senior",German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-prozessingenieur-muenchen-852498/1,2026-07-06T13:59:04.790865+00:00
14,Python Developer | Germany,hays,Senior Software Developer (m/w/d),Hays Client,München,On-site,Contract,"Ci/Cd, Java, Javascript, Python, Typescript","Docker, Postgresql, Kubernetes, Devops, Senior",German,Senior,,23.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-muenchen-882356/1,2026-07-06T13:59:24.482024+00:00
14,Python Test | Germany,hays,Python Architect (m/w/d),Hays Client,Münster,On-site,Contract,"Ci/Cd, Python","R, Architect, Devops",German,Architect,,25.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-python-architect-muenster-881422/1,2026-07-06T13:59:49.346753+00:00
14,Python Test | Germany,hays,Senior Platform Engineer Kubernetes (m/w/d),Hays Client,Remote,Remote,Contract,,"Kubernetes, R, Senior",German,Senior,,17.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-platform-engineer-kubernetes-remote-881574/1,2026-07-06T13:59:49.347452+00:00
14,Python Test | Germany,hays,After-Market Quality Test Engineer (m/f/d),Hays Client,Raunheim,On-site,Contract,,"Jira, Lead, R",English,Lead,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-after-market-quality-test-engineer-raunheim-880596/1,2026-07-06T13:59:49.347681+00:00
