relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Lead Test Connection Energy Data Management (m/f/d),GULP Client,"Location: Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/716956cc0cc111f196d7a2d1b5394681,2026-03-05T11:13:57.281372+00:00
14,Tester | Germany,gulp,Test Manager SAP Cloud ALM ( CALM) (m/f/d),GULP Client,Location: D3,On-site,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d8235140080411f196d7a2d1b5394681,2026-03-05T11:13:57.281828+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-03-05T11:13:57.282215+00:00
14,QA Engineer | Germany,gulp,Senior Angular Developer (m/f/d),GULP Client,Location: Cologne,On-site,Freelance,,"Angular, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249749,2026-03-05T11:14:47.423845+00:00
14,QA Engineer | Germany,gulp,SAP Consultant FiCo (m/f/d),GULP Client,Location: Essingen,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249861,2026-03-05T11:14:47.424305+00:00
14,Test Automation | Germany,gulp,Remote: Test Manager (m/f/d) in SAP environment POS70903 s/4HANA Solution Manager HP ALM Jira Tosca,GULP Client,Location: remote,Remote,Freelance,,Jira,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a5a2d99ae026fc1cf8d1e2,2026-03-05T11:17:17.856890+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca689b86aec35538cb035,2026-03-05T11:17:17.859306+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca688b86aec35538cb019,2026-03-05T11:17:17.859869+00:00
14,Test Automation | Germany,gulp,Senior Engineer for Photonic Module Characterization (m/f/d),GULP Client,Location: Stuttgart,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01224100,2026-03-05T11:17:17.860685+00:00
14,Python Developer | Germany,gulp,Expert for technical concept/design creation for software solutions atdevelopmentbanks (m/f/d),GULP Client,"Location: D6, Remote",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f6c6a874188311f189e08e417b6a1e17,2026-03-05T11:18:06.901624+00:00
14,Python Developer | Germany,gulp,Senior Network Security & Segmentation Consulting (DORA/ISM Compliance) Banks (f/m/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249882,2026-03-05T11:18:06.905244+00:00
14,Python Developer | Germany,gulp,Senior Agile Coach (m/f/d),GULP Client,Location: Deutschland,On-site,Freelance,,"Senior, Agile",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/61c3d396180611f189e08e417b6a1e17,2026-03-05T11:18:06.906129+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d) Verification & Validation,GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-03-05T11:13:57.279311+00:00
0,Tester | Germany,gulp,Test EngineerICT (m/f/d),GULP Client,Location: D4,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/bb69b54e127c11f196d7a2d1b5394681,2026-03-05T11:13:57.279829+00:00
0,Tester | Germany,gulp,Software Tester (m/f/d),GULP Client,Germany,Remote,Freelance,,Sql,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a8947742127c11f196d7a2d1b5394681,2026-03-05T11:13:57.280334+00:00
0,Tester | Germany,gulp,4389 Banking applicationtester(m/f/d),GULP Client,Location: Münster,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/028cfdd410b411f196d7a2d1b5394681,2026-03-05T11:13:57.280802+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-03-05T11:13:57.282668+00:00
0,QA Engineer | Germany,gulp,LeadEngineerCivilEngineering(m/f/d),GULP Client,"Location: D5, remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f54afa9a188311f189e08e417b6a1e17,2026-03-05T11:14:47.420219+00:00
0,QA Engineer | Germany,gulp,Planning supervisor for building services engineering (m/f/d),GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f6618c0a188311f189e08e417b6a1e17,2026-03-05T11:14:47.420722+00:00
0,QA Engineer | Germany,gulp,Project Manager Defence (m/f/d),GULP Client,"Location: D8, Remote",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f5c1e704188311f189e08e417b6a1e17,2026-03-05T11:14:47.421292+00:00
0,QA Engineer | Germany,gulp,08865 Area Product Manager - Remote - 3 months - Telecommunications industry,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/839b6612187b11f189e08e417b6a1e17,2026-03-05T11:14:47.421840+00:00
0,QA Engineer | Germany,gulp,Infor LN Developer (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/85550634187b11f189e08e417b6a1e17,2026-03-05T11:14:47.422389+00:00
0,QA Engineer | Germany,gulp,AIEngineer(m/f/d),GULP Client,"Location: D8, remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/87edb7ce187b11f189e08e417b6a1e17,2026-03-05T11:14:47.422926+00:00
0,QA Engineer | Germany,gulp,Business Analyst Securities Trading &amp; Regulatory Affairs,GULP Client,Germany,Remote,Freelance,,"Confluence, Scrum, Product Owner, Jira",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/699d628356a1fcd7b64d58b9,2026-03-05T11:14:47.423483+00:00
0,QA Engineer | Germany,gulp,SystemsEngineer(HW/FW) - ElectricalEngineering/SystemsEngineering(m/f/d),GULP Client,"Location: D5, / Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0df6805e17fe11f189e08e417b6a1e17,2026-03-05T11:14:47.424853+00:00
0,QA Engineer | Germany,gulp,AutomationEngineer/ Control SystemsEngineer(B&R) (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,R,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1ed080aa17fe11f189e08e417b6a1e17,2026-03-05T11:14:47.425417+00:00
0,QA Engineer | Germany,gulp,Quality inspector for turned and milled parts (m/f/d),GULP Client,Location: D5,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1118a22617fe11f189e08e417b6a1e17,2026-03-05T11:14:47.425853+00:00
0,QA Engineer | Germany,gulp,"DevOpsEngineer(m/f/d) - AWS CDK, Python Polars, etc.",GULP Client,Location: Frankfurt am Main,On-site,Freelance,Python,Aws,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249279,2026-03-05T11:14:47.426221+00:00
0,QA Engineer | Germany,gulp,ApplicationEngineer/ Technical Planner High Voltage (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/12b20d0417f211f189e08e417b6a1e17,2026-03-05T11:14:47.426767+00:00
0,QA Engineer | Germany,gulp,ApplicationEngineerspecializing in electrical or energy technology (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f3bfad2a17ec11f189e08e417b6a1e17,2026-03-05T11:14:47.427320+00:00
